Time,Open,High,Low,Close,Volume
202011200900,3460,3465,3455,3460,4112366
202011200901,3455,3470,3455,3460,3042035
202011200902,3460,3470,3455,3465,1026825
202011200903,3465,3470,3460,3470,648070
202011200904,3470,3475,3460,3475,1473770
202011200905,3475,3475,3460,3465,1061897
202011200906,3465,3470,3460,3460,462387
202011200907,3460,3465,3455,3455,790953
202011200908,3460,3460,3455,3460,283885
202011200909,3460,3460,3450,3460,795953
202011200910,3455,3465,3450,3460,651168
202011200911,3460,3460,3445,3455,1354248
202011200912,3455,3455,3445,3450,665841
202011200913,3450,3455,3445,3455,436759
202011200914,3455,3455,3450,3450,348685
202011200915,3450,3450,3440,3445,1197926
202011200916,3445,3445,3440,3440,341756
202011200917,3445,3450,3440,3445,642727
202011200918,3445,3445,3440,3445,158349
202011200919,3445,3450,3440,3445,713851
202011200920,3445,3450,3440,3445,1322874
202011200921,3445,3445,3435,3440,536273
202011200922,3440,3440,3430,3435,734332
202011200923,3440,3440,3430,3435,953476
202011200924,3435,3440,3430,3430,245639
202011200925,3430,3440,3430,3435,828546
202011200926,3435,3440,3430,3430,636225
202011200927,3430,3435,3425,3430,1128358
202011200928,3430,3430,3425,3430,264794
202011200929,3425,3430,3425,3430,452549
202011200930,3430,3430,3425,3430,93526
202011200931,3430,3430,3420,3425,1400922
202011200932,3420,3425,3410,3415,2444196
202011200933,3415,3420,3410,3420,844321
202011200934,3420,3420,3410,3420,790812
202011200935,3420,3420,3410,3420,238274
202011200936,3420,3425,3415,3425,895342
202011200937,3420,3425,3420,3425,153435
202011200938,3425,3425,3420,3420,431883
202011200939,3420,3425,3415,3425,1415176
202011200940,3430,3430,3420,3425,445771
202011200941,3425,3435,3425,3430,703913
202011200942,3430,3435,3425,3430,319985
202011200943,3430,3435,3430,3435,112384
202011200944,3435,3440,3430,3435,644715
202011200945,3435,3435,3430,3435,412241
202011200946,3435,3440,3430,3435,547683
202011200947,3435,3445,3435,3435,917184
202011200948,3435,3445,3435,3440,292687
202011200949,3435,3445,3435,3440,440745
202011200950,3445,3445,3440,3440,307549
202011200951,3445,3445,3440,3445,88287
202011200952,3445,3450,3440,3445,680095
202011200953,3450,3455,3445,3455,1078016
202011200954,3455,3460,3450,3460,1043321
202011200955,3460,3460,3450,3455,819594
202011200956,3455,3460,3455,3460,242756
202011200957,3460,3460,3450,3450,1266970
202011200958,3450,3455,3450,3455,510498
202011200959,3450,3455,3450,3450,57321
202011201000,3455,3455,3450,3450,1769614
202011201001,3450,3450,3440,3440,949488
202011201002,3445,3450,3440,3445,343177
202011201003,3450,3450,3445,3445,188589
202011201004,3445,3450,3440,3450,233279
202011201005,3450,3450,3445,3450,336014
202011201006,3450,3450,3440,3445,367718
202011201007,3445,3455,3445,3450,365634
202011201008,3450,3455,3445,3450,303517
202011201009,3455,3455,3450,3455,51360
202011201010,3455,3460,3450,3460,782746
202011201011,3460,3460,3450,3450,810880
202011201012,3445,3455,3445,3450,166646
202011201013,3450,3455,3445,3450,224541
202011201014,3455,3455,3450,3455,383889
202011201015,3455,3455,3445,3450,389699
202011201016,3450,3450,3445,3450,96123
202011201017,3445,3450,3445,3445,23339
202011201018,3450,3450,3445,3450,5237
202011201019,3450,3450,3445,3445,15708
202011201020,3450,3450,3440,3445,543713
202011201021,3440,3445,3440,3445,67633
202011201022,3440,3445,3440,3440,252218
202011201023,3440,3445,3440,3440,519664
202011201024,3440,3440,3435,3435,98350
202011201025,3440,3440,3435,3440,15903
202011201026,3440,3445,3435,3440,416219
202011201027,3445,3445,3440,3440,188362
202011201028,3440,3445,3435,3440,36714
202011201029,3440,3445,3435,3440,58162
