Time,Open,High,Low,Close,Volume
202107290900,1925,1925,1910,1910,5348332
202107290901,1915,1920,1910,1910,4104143
202107290902,1915,1915,1910,1910,1543591
202107290903,1915,1920,1910,1915,942746
202107290904,1915,1920,1910,1915,1876090
202107290905,1915,1915,1910,1915,608653
202107290906,1915,1915,1910,1915,270912
202107290907,1910,1915,1910,1915,291338
202107290908,1915,1915,1910,1915,273770
202107290909,1915,1915,1910,1915,175973
202107290910,1915,1915,1910,1910,500584
202107290911,1915,1920,1910,1915,1631993
202107290912,1920,1920,1915,1920,32924
202107290913,1920,1920,1910,1910,2308118
202107290914,1915,1915,1910,1915,395828
202107290915,1915,1920,1910,1915,1040257
202107290916,1915,1920,1915,1920,75919
202107290917,1920,1920,1915,1915,58534
202107290918,1915,1920,1915,1920,83901
202107290919,1915,1920,1915,1920,2917256
202107290920,1915,1920,1910,1910,359375
202107290921,1915,1915,1910,1915,139884
202107290922,1910,1915,1910,1915,1013357
202107290923,1915,1915,1910,1915,154212
202107290924,1915,1915,1905,1910,12646396
202107290925,1910,1915,1905,1910,1990133
202107290926,1915,1915,1910,1910,300257
202107290927,1910,1915,1910,1915,129797
202107290928,1910,1915,1910,1910,22807
202107290929,1915,1915,1910,1910,55671
202107290930,1910,1915,1910,1910,50412
202107290931,1915,1920,1910,1915,1962910
202107290932,1915,1920,1915,1915,194105
202107290933,1920,1920,1910,1915,1081408
202107290934,1915,1920,1910,1915,434197
202107290935,1915,1915,1910,1915,42308
202107290936,1915,1915,1910,1910,86308
202107290937,1910,1915,1910,1910,63865
202107290938,1915,1915,1910,1915,9903
202107290939,1910,1915,1910,1915,28751
202107290940,1915,1915,1910,1915,414873
202107290941,1915,1920,1910,1910,830942
202107290942,1915,1915,1910,1915,144110
202107290943,1910,1915,1910,1915,35524
202107290944,1915,1920,1915,1915,516411
202107290945,1915,1920,1910,1915,1633494
202107290946,1915,1915,1910,1915,132486
202107290947,1915,1915,1910,1915,19348
202107290948,1915,1915,1910,1915,78093
202107290949,1915,1915,1910,1915,611060
202107290950,1915,1920,1910,1920,345436
202107290951,1920,1920,1915,1920,5966
202107290952,1920,1920,1910,1910,250514
202107290953,1910,1915,1910,1910,23318
202107290954,1915,1915,1910,1915,24585
202107290955,1915,1915,1910,1910,10309
202107290956,1915,1915,1910,1915,31203
202107290957,1915,1915,1910,1915,18286
202107290958,1915,1915,1910,1910,23091
202107290959,1910,1915,1910,1915,152167
