Time,Open,High,Low,Close,Volume
202008130900,16220,16315,16220,16310,1971462
202008130901,16310,16330,16305,16330,776953
202008130902,16330,16330,16275,16300,736047
202008130903,16305,16305,16250,16260,586035
202008130904,16265,16290,16245,16290,613616
202008130905,16290,16305,16280,16290,839537
202008130906,16290,16305,16280,16285,428300
202008130907,16290,16300,16280,16295,173295
202008130908,16295,16295,16260,16265,327723
202008130909,16265,16270,16225,16225,352286
202008130910,16225,16260,16225,16255,396107
202008130911,16250,16265,16240,16245,232826
202008130912,16245,16245,16205,16205,194083
202008130913,16210,16260,16200,16255,274905
202008130914,16260,16275,16255,16260,222247
202008130915,16260,16285,16250,16255,261933
202008130916,16255,16260,16245,16250,144254
202008130917,16255,16280,16250,16275,143705
202008130918,16275,16285,16270,16280,196959
202008130919,16280,16285,16270,16270,115300
202008130920,16275,16295,16255,16290,297981
202008130921,16290,16295,16235,16235,459172
202008130922,16240,16265,16235,16245,242297
202008130923,16245,16255,16240,16245,106550
202008130924,16245,16245,16220,16240,263816
202008130925,16245,16255,16235,16235,170851
202008130926,16235,16240,16200,16205,464301
202008130927,16205,16215,16160,16185,428251
202008130928,16180,16210,16180,16200,176156
202008130929,16195,16235,16195,16235,169613
202008130930,16235,16240,16195,16210,170063
202008130931,16210,16230,16200,16230,94822
202008130932,16235,16240,16215,16225,99200
202008130933,16225,16225,16180,16185,198975
202008130934,16185,16200,16175,16180,231313
202008130935,16180,16205,16175,16200,104524
202008130936,16205,16220,16195,16210,111642
202008130937,16205,16230,16200,16230,139940
202008130938,16230,16230,16200,16210,80699
202008130939,16210,16210,16185,16200,103425
202008130940,16195,16225,16190,16220,103240
202008130941,16220,16220,16200,16210,61730
202008130942,16210,16215,16195,16200,55642
202008130943,16200,16220,16200,16205,109529
202008130944,16205,16220,16200,16215,71107
202008130945,16220,16235,16215,16215,151926
202008130946,16210,16230,16205,16210,80099
202008130947,16210,16210,16185,16190,157819
202008130948,16195,16205,16180,16185,133622
202008130949,16190,16200,16180,16185,163028
202008130950,16190,16195,16155,16160,264445
202008130951,16155,16160,16135,16140,235443
202008130952,16140,16140,16085,16095,391523
202008130953,16100,16145,16090,16140,250491
202008130954,16145,16160,16135,16150,276890
202008130955,16145,16150,16100,16105,102671
202008130956,16110,16150,16105,16145,201581
202008130957,16140,16145,16125,16130,80661
202008130958,16130,16155,16130,16150,94370
202008130959,16150,16155,16130,16130,101259
202008131000,16135,16150,16120,16120,222943
202008131001,16125,16125,16080,16100,341010
