Time,Open,High,Low,Close,Volume
202105310900,27765,27815,27740,27770,296807
202105310901,27760,27805,27755,27775,244059
202105310902,27765,27770,27700,27715,180211
202105310903,27710,27720,27670,27690,117674
202105310904,27695,27695,27665,27690,91090
202105310905,27690,27695,27665,27675,46263
202105310906,27675,27705,27655,27665,81653
202105310907,27665,27675,27635,27650,82999
202105310908,27660,27660,27625,27635,81897
202105310909,27635,27650,27580,27585,84030
202105310910,27585,27590,27535,27560,136265
202105310911,27560,27560,27515,27515,83312
202105310912,27520,27540,27505,27505,90708
202105310913,27505,27515,27485,27505,102637
202105310914,27500,27530,27490,27495,43076
202105310915,27495,27550,27490,27550,49152
202105310916,27545,27570,27545,27560,83738
202105310917,27560,27615,27560,27595,106892
202105310918,27600,27615,27565,27570,128159
202105310919,27565,27565,27510,27520,125592
202105310920,27510,27510,27450,27460,153778
202105310921,27460,27490,27430,27485,110461
202105310922,27485,27525,27480,27495,99167
202105310923,27495,27535,27475,27520,36911
202105310924,27515,27530,27490,27520,40140
202105310925,27520,27525,27495,27500,39196
202105310926,27495,27530,27490,27525,22470
202105310927,27530,27585,27505,27570,101828
202105310928,27565,27595,27565,27580,60620
202105310929,27575,27590,27565,27565,34402
202105310930,27565,27610,27560,27595,94272
202105310931,27590,27620,27585,27615,80779
202105310932,27615,27625,27560,27590,72955
202105310933,27585,27610,27570,27575,30716
202105310934,27570,27600,27570,27570,35819
202105310935,27565,27615,27565,27615,82933
202105310936,27620,27635,27580,27580,90279
202105310937,27585,27600,27530,27550,95211
202105310938,27545,27565,27515,27515,47379
202105310939,27515,27540,27500,27540,55863
202105310940,27535,27550,27490,27510,96178
202105310941,27515,27535,27500,27505,61102
202105310942,27510,27510,27485,27495,128616
202105310943,27495,27505,27480,27505,66942
202105310944,27500,27520,27485,27515,47202
202105310945,27520,27525,27495,27495,35084
202105310946,27495,27500,27435,27490,206875
202105310947,27490,27540,27490,27515,41368
202105310948,27515,27535,27495,27515,25286
202105310949,27515,27525,27490,27515,18511
202105310950,27515,27560,27495,27535,75144
202105310951,27540,27545,27520,27535,24283
202105310952,27535,27555,27510,27530,24909
202105310953,27525,27535,27515,27520,5581
202105310954,27530,27560,27530,27550,68434
202105310955,27540,27540,27515,27520,11070
202105310956,27525,27545,27510,27545,16374
202105310957,27540,27570,27535,27555,73682
202105310958,27560,27595,27540,27590,25912
202105310959,27585,27605,27575,27595,58405
202105311000,27595,27615,27580,27580,67931
202105311001,27585,27595,27550,27560,58074
202105311002,27560,27590,27560,27580,34466
202105311003,27585,27590,27550,27570,33023
202105311004,27570,27585,27550,27550,28383
202105311005,27555,27565,27540,27545,43965
202105311006,27545,27545,27505,27520,53740
202105311007,27515,27525,27495,27520,41301
202105311008,27515,27520,27495,27515,30738
202105311009,27515,27530,27500,27505,25455
202105311010,27515,27530,27495,27500,48376
202105311011,27495,27510,27480,27505,128402
202105311012,27505,27525,27495,27505,56263
202105311013,27505,27545,27500,27540,32899
202105311014,27545,27560,27545,27555,61619
202105311015,27550,27580,27525,27575,88769
202105311016,27575,27575,27540,27565,21605
202105311017,27565,27570,27550,27565,17264
202105311018,27570,27595,27560,27590,72931
202105311019,27590,27595,27560,27570,38476
202105311020,27570,27585,27565,27575,29934
202105311021,27575,27590,27570,27590,32202
202105311022,27585,27600,27585,27590,43371
202105311023,27595,27610,27585,27585,59346
202105311024,27585,27620,27585,27615,91914
202105311025,27615,27625,27595,27595,32379
202105311026,27600,27615,27600,27610,18232
202105311027,27615,27645,27610,27640,78070
202105311028,27640,27665,27640,27665,111581
202105311029,27665,27665,27640,27650,64649
202105311030,27655,27660,27590,27610,87752
202105311031,27600,27605,27570,27575,62357
202105311032,27580,27595,27560,27585,53835
202105311033,27580,27620,27575,27605,27101
202105311034,27600,27605,27580,27580,21956
202105311035,27585,27595,27550,27555,40713
202105311036,27550,27565,27535,27550,48464
202105311037,27545,27550,27510,27535,90092
202105311038,27530,27560,27525,27545,25136
202105311039,27540,27555,27530,27545,30347
202105311040,27545,27555,27530,27555,15983
202105311041,27550,27550,27515,27530,35596
202105311042,27535,27550,27535,27540,11761
202105311043,27545,27570,27535,27560,41083
202105311044,27570,27580,27545,27580,24202
202105311045,27575,27580,27535,27575,46071
202105311046,27575,27600,27570,27595,53819
202105311047,27600,27620,27585,27620,59025
202105311048,27620,27635,27600,27610,54242
202105311049,27605,27610,27590,27600,25347
202105311050,27605,27610,27575,27595,38211
202105311051,27595,27620,27595,27610,25758
202105311052,27600,27605,27585,27585,25585
202105311053,27585,27595,27570,27580,20926
202105311054,27575,27585,27555,27585,15041
202105311055,27580,27590,27560,27570,22532
202105311056,27570,27575,27555,27575,30764
202105311057,27580,27590,27575,27590,14529
202105311058,27595,27610,27590,27600,66754
202105311059,27605,27605,27585,27600,11574
202105311100,27590,27595,27565,27565,42154
202105311101,27565,27595,27560,27585,40685
202105311102,27580,27580,27560,27560,13451
202105311103,27560,27570,27550,27565,11131
202105311104,27570,27580,27560,27575,6341
202105311105,27575,27595,27570,27595,21683
202105311106,27595,27625,27585,27615,82998
202105311107,27610,27640,27605,27610,45040
202105311108,27615,27635,27615,27630,26642
202105311109,27635,27650,27630,27640,52461
202105311110,27640,27650,27625,27630,60667
202105311111,27630,27650,27625,27625,43136
202105311112,27630,27630,27610,27630,26843
202105311113,27625,27650,27620,27650,30844
202105311114,27645,27645,27625,27645,15687
202105311115,27645,27650,27635,27650,16236
202105311116,27645,27670,27645,27660,101547
202105311117,27660,27665,27645,27650,18498
202105311118,27650,27660,27635,27655,33168
202105311119,27655,27680,27650,27675,71093
202105311120,27675,27685,27660,27665,84132
202105311121,27670,27675,27650,27655,28533
202105311122,27655,27680,27655,27675,36596
202105311123,27670,27670,27650,27650,35213
202105311124,27655,27655,27640,27645,43093
202105311125,27645,27650,27620,27635,56034
202105311126,27635,27655,27630,27655,18485
202105311127,27655,27675,27645,27665,38847
202105311128,27660,27690,27660,27690,59152
202105311129,27690,27705,27680,27700,121136
202105311130,27695,27705,27685,27705,81306
202105311131,27705,27705,27685,27695,125233
202105311132,27695,27700,27690,27695,24712
202105311133,27695,27695,27670,27675,44974
202105311134,27680,27690,27665,27680,36385
202105311135,27685,27695,27680,27685,6970
202105311136,27685,27695,27670,27680,22480
202105311137,27675,27685,27650,27650,45356
202105311138,27650,27660,27635,27640,56788
202105311139,27640,27645,27625,27640,21353
202105311140,27640,27660,27630,27655,37478
202105311141,27660,27675,27655,27665,13550
202105311142,27665,27665,27635,27650,17540
202105311143,27655,27670,27645,27665,24101
202105311144,27660,27675,27660,27665,6128
202105311145,27670,27670,27660,27665,9227
202105311146,27655,27665,27640,27665,28584
202105311147,27665,27680,27650,27675,22377
202105311148,27680,27690,27675,27685,52676
202105311149,27685,27695,27680,27685,30062
202105311150,27690,27700,27670,27670,23760
202105311151,27680,27680,27665,27665,23228
202105311152,27670,27675,27665,27670,10517
202105311153,27665,27680,27655,27670,11322
202105311154,27670,27675,27655,27655,16079
202105311155,27655,27675,27645,27675,16854
202105311156,27675,27675,27665,27670,10085
202105311157,27670,27670,27660,27665,9094
202105311158,27660,27670,27650,27655,4521
202105311159,27655,27655,27640,27645,20595
202105311200,27645,27660,27645,27645,7937
202105311201,27645,27660,27645,27655,11016
202105311202,27650,27655,27640,27645,17387
202105311203,27645,27645,27625,27635,47426
202105311204,27630,27635,27600,27610,81998
202105311205,27610,27625,27605,27620,8071
202105311206,27620,27630,27610,27625,11419
202105311207,27625,27640,27625,27635,12696
202105311208,27635,27635,27615,27620,12646
202105311209,27615,27625,27605,27610,13022
202105311210,27605,27630,27605,27625,3000
202105311211,27625,27635,27620,27635,30604
202105311212,27630,27660,27630,27660,29179
202105311213,27650,27665,27640,27645,25867
202105311214,27645,27650,27635,27635,8764
202105311215,27630,27640,27620,27625,19725
202105311216,27625,27625,27615,27620,19910
202105311217,27620,27620,27570,27575,105884
202105311218,27575,27585,27550,27560,87850
202105311219,27565,27580,27550,27570,43053
202105311220,27565,27585,27560,27565,17015
202105311221,27565,27565,27525,27525,72465
202105311222,27525,27530,27510,27520,170747
202105311223,27520,27540,27520,27525,10874
202105311224,27525,27525,27505,27525,59202
202105311225,27525,27540,27520,27535,23858
202105311226,27540,27550,27535,27545,48922
202105311227,27545,27545,27515,27515,67694
202105311228,27520,27520,27495,27515,107641
202105311229,27515,27515,27500,27505,36106
202105311230,27505,27530,27505,27525,17412
202105311231,27525,27525,27480,27485,113921
202105311232,27485,27515,27485,27515,42823
202105311233,27510,27520,27510,27515,14444
202105311234,27515,27520,27490,27500,18665
202105311235,27495,27505,27480,27500,45112
202105311236,27500,27500,27480,27485,9513
202105311237,27485,27485,27465,27470,93971
202105311238,27470,27490,27460,27485,39082
202105311239,27485,27500,27475,27500,19587
202105311240,27495,27525,27490,27525,47912
202105311241,27525,27535,27515,27530,40896
202105311242,27530,27535,27520,27535,13649
202105311243,27530,27535,27515,27530,36577
202105311244,27535,27545,27530,27535,19084
202105311245,27530,27530,27510,27510,35583
202105311246,27515,27525,27510,27520,19973
202105311247,27515,27525,27505,27525,32273
202105311248,27520,27530,27520,27525,11215
202105311249,27525,27540,27520,27535,10205
202105311250,27535,27545,27535,27540,13054
202105311251,27540,27550,27535,27545,18938
202105311252,27545,27555,27540,27545,31116
202105311253,27545,27560,27525,27560,56308
202105311254,27560,27570,27560,27565,62004
202105311255,27565,27570,27555,27555,21965
202105311256,27555,27565,27550,27550,11766
202105311257,27555,27555,27535,27540,10438
202105311258,27540,27550,27535,27550,4924
202105311259,27555,27575,27550,27570,37159
202105311300,27565,27570,27540,27545,34604
202105311301,27545,27555,27540,27545,12599
202105311302,27550,27565,27545,27560,11101
202105311303,27560,27570,27560,27570,8863
202105311304,27570,27580,27565,27575,22001
202105311305,27580,27580,27565,27565,29987
202105311306,27570,27570,27555,27555,5715
202105311307,27550,27555,27550,27550,4879
202105311308,27555,27555,27540,27550,7525
202105311309,27550,27550,27535,27535,11668
202105311310,27535,27550,27535,27550,34558
202105311311,27550,27585,27550,27580,71574
202105311312,27580,27585,27570,27575,26744
202105311313,27575,27575,27550,27565,20034
202105311314,27560,27565,27555,27560,3434
202105311315,27555,27565,27550,27565,13656
202105311316,27565,27565,27545,27550,27409
202105311317,27550,27565,27545,27550,26193
202105311318,27555,27560,27535,27545,20236
202105311319,27540,27540,27530,27540,16428
202105311320,27545,27550,27535,27535,15095
202105311321,27535,27570,27535,27570,25709
202105311322,27570,27585,27565,27580,26631
202105311323,27585,27595,27575,27580,40590
202105311324,27580,27590,27575,27575,10881
202105311325,27575,27585,27570,27585,7760
202105311326,27585,27600,27585,27595,65945
202105311327,27590,27595,27585,27585,7116
202105311328,27585,27595,27585,27595,9121
202105311329,27590,27595,27580,27580,24811
202105311330,27585,27620,27585,27620,80085
202105311331,27615,27620,27600,27610,17589
202105311332,27610,27610,27595,27600,10644
202105311333,27595,27610,27585,27595,34229
202105311334,27595,27595,27580,27580,13627
202105311335,27585,27605,27575,27575,36917
202105311336,27575,27595,27570,27595,24447
202105311337,27595,27610,27595,27610,14910
202105311338,27605,27610,27595,27600,13557
202105311339,27595,27595,27570,27585,56285
202105311340,27575,27580,27565,27580,10530
202105311341,27575,27575,27555,27560,37697
202105311342,27560,27560,27530,27540,51204
202105311343,27535,27540,27530,27530,13855
202105311344,27530,27540,27515,27520,50323
202105311345,27520,27520,27500,27505,25306
202105311346,27505,27535,27500,27520,18010
202105311347,27525,27530,27515,27525,17747
202105311348,27525,27540,27510,27540,25245
202105311349,27540,27550,27540,27545,17860
202105311350,27540,27560,27535,27545,27407
202105311351,27550,27565,27545,27560,50707
202105311352,27555,27565,27550,27555,19299
202105311353,27560,27565,27550,27560,8882
202105311354,27560,27565,27550,27555,9522
202105311355,27550,27565,27545,27565,16856
202105311356,27565,27575,27565,27570,7433
202105311357,27575,27575,27570,27570,18250
202105311358,27570,27570,27555,27555,10365
202105311359,27560,27575,27555,27570,7418
202105311400,27570,27600,27570,27585,98589
202105311401,27590,27635,27585,27620,156949
202105311402,27620,27635,27615,27630,56536
202105311403,27630,27660,27630,27655,226269
202105311404,27660,27670,27655,27660,81495
202105311405,27660,27685,27660,27685,71984
202105311406,27685,27690,27675,27675,52096
202105311407,27675,27685,27665,27680,66239
202105311408,27685,27705,27685,27695,149021
202105311409,27695,27705,27690,27700,39378
202105311410,27705,27705,27690,27695,19938
202105311411,27695,27705,27695,27700,24166
202105311412,27705,27715,27675,27680,126811
202105311413,27680,27685,27665,27680,29752
202105311414,27680,27710,27680,27700,35505
202105311415,27700,27710,27690,27695,88949
202105311416,27700,27705,27690,27705,20147
202105311417,27705,27715,27700,27710,27691
202105311418,27715,27720,27685,27695,52442
202105311419,27690,27700,27685,27695,21426
202105311420,27695,27710,27695,27695,45071
202105311421,27695,27695,27675,27675,29386
202105311422,27680,27695,27680,27690,15394
202105311423,27690,27730,27690,27725,117381
202105311424,27730,27750,27725,27740,130614
202105311425,27740,27765,27735,27760,95707
202105311426,27760,27765,27745,27755,89236
202105311427,27755,27765,27740,27745,105827
202105311428,27750,27770,27745,27750,71581
202105311429,27750,27760,27745,27760,24371
202105311430,27760,27795,27760,27785,110770
202105311431,27790,27795,27765,27765,54025
202105311432,27770,27770,27750,27755,28380
202105311433,27755,27760,27735,27755,66768
202105311434,27755,27770,27755,27770,32402
202105311435,27770,27785,27760,27780,35380
202105311436,27785,27790,27760,27765,25060
202105311437,27765,27770,27745,27745,38513
202105311438,27745,27760,27745,27755,21002
202105311439,27755,27760,27745,27750,17765
202105311440,27750,27755,27725,27735,60095
202105311441,27740,27760,27735,27760,22535
202105311442,27755,27765,27755,27760,22492
202105311443,27760,27780,27760,27770,51674
202105311444,27775,27780,27760,27760,74013
202105311445,27760,27760,27740,27750,63807
202105311446,27755,27760,27740,27755,14996
202105311447,27755,27760,27755,27760,11888
202105311448,27760,27760,27755,27755,19572
202105311449,27755,27760,27750,27755,10344
202105311450,27750,27755,27735,27735,42630
202105311451,27735,27755,27735,27750,21465
202105311452,27750,27770,27750,27770,67661
202105311453,27765,27780,27765,27765,96492
202105311454,27770,27775,27760,27765,6586
202105311455,27765,27770,27755,27755,10256
202105311456,27755,27760,27750,27760,17923
202105311457,27755,27755,27745,27745,29704
202105311458,27750,27770,27745,27770,32015
202105311459,27765,27775,27760,27775,46272
202105311500,27775,27780,27760,27765,11416
202105311501,27760,27770,27745,27750,18317
202105311502,27750,27765,27750,27760,12900
202105311503,27760,27780,27760,27770,29718
202105311504,27775,27780,27765,27775,22792
202105311505,27775,27795,27770,27795,109638
202105311506,27790,27810,27790,27795,182703
202105311507,27795,27795,27775,27775,27193
202105311508,27775,27795,27770,27790,23530
202105311509,27790,27795,27780,27790,25885
202105311510,27795,27805,27790,27805,22512
202105311511,27805,27810,27805,27810,63077
202105311512,27810,27815,27800,27800,14920
202105311513,27800,27835,27800,27825,119734
202105311514,27825,27835,27820,27830,83185
202105311515,27835,27840,27820,27825,67543
202105311516,27825,27830,27810,27830,36593
202105311517,27830,27835,27820,27825,66106
202105311518,27830,27840,27830,27830,66456
202105311519,27830,27840,27830,27835,47056
202105311530,27840,27840,27840,27840,134930
202105311535,27840,27840,27840,27840,19740
