Time,Open,High,Low,Close,Volume
202202090900,20585,20640,20585,20625,779277
202202090901,20630,20660,20600,20600,406367
202202090902,20600,20610,20560,20565,359338
202202090903,20565,20570,20545,20550,279383
202202090904,20545,20570,20520,20530,137331
202202090905,20530,20585,20530,20580,177231
202202090906,20580,20615,20580,20615,248915
202202090907,20620,20665,20615,20650,318878
202202090908,20655,20700,20655,20685,319059
202202090909,20685,20700,20640,20645,123344
202202090910,20645,20660,20615,20625,120684
202202090911,20620,20640,20615,20630,180065
202202090912,20640,20665,20630,20645,79973
202202090913,20640,20650,20620,20640,86279
202202090914,20640,20665,20630,20665,67172
202202090915,20665,20670,20635,20650,90705
202202090916,20650,20670,20645,20650,50570
202202090917,20650,20665,20650,20660,43455
202202090918,20665,20690,20665,20675,179523
202202090919,20675,20685,20635,20645,47594
202202090920,20645,20685,20640,20680,78946
202202090921,20680,20690,20670,20680,48981
202202090922,20685,20695,20660,20665,120074
202202090923,20670,20675,20640,20640,28404
202202090924,20645,20645,20590,20590,192546
202202090925,20595,20620,20585,20620,87081
202202090926,20620,20645,20615,20620,143761
202202090927,20620,20635,20610,20610,20287
202202090928,20615,20615,20570,20570,139843
202202090929,20580,20585,20560,20575,78587
202202090930,20580,20580,20470,20490,191121
202202090931,20490,20535,20485,20525,135559
202202090932,20525,20535,20505,20520,87711
202202090933,20520,20575,20510,20575,124179
202202090934,20575,20580,20540,20575,102685
202202090935,20570,20575,20530,20530,47218
202202090936,20535,20575,20535,20565,23531
202202090937,20560,20585,20550,20575,65826
202202090938,20575,20575,20555,20570,51909
202202090939,20570,20570,20540,20560,43219
202202090940,20560,20575,20550,20570,38536
202202090941,20570,20570,20530,20560,48375
202202090942,20560,20575,20545,20560,18470
202202090943,20560,20565,20540,20555,55260
202202090944,20555,20575,20555,20575,16077
202202090945,20575,20605,20565,20600,122668
202202090946,20600,20605,20585,20590,44381
202202090947,20590,20605,20585,20595,38315
202202090948,20600,20600,20585,20595,38658
202202090949,20600,20615,20590,20610,233150
202202090950,20610,20615,20600,20610,31896
202202090951,20610,20610,20580,20585,47485
202202090952,20585,20600,20585,20595,34076
202202090953,20590,20600,20585,20595,17695
202202090954,20600,20615,20590,20610,71346
202202090955,20610,20625,20590,20590,126068
202202090956,20590,20600,20590,20595,20301
202202090957,20595,20600,20565,20570,29602
202202090958,20575,20605,20570,20595,25413
202202090959,20595,20605,20585,20605,19220
202202091000,20600,20610,20575,20585,18786
202202091001,20580,20610,20575,20600,46214
202202091002,20600,20630,20600,20630,107803
202202091003,20630,20640,20620,20625,53693
202202091004,20625,20635,20625,20635,44622
202202091005,20640,20650,20635,20645,73708
202202091006,20645,20675,20645,20660,135073
202202091007,20660,20680,20650,20670,53148
202202091008,20665,20675,20660,20660,12965
202202091009,20660,20690,20660,20675,83484
202202091010,20675,20690,20675,20680,18811
202202091011,20680,20695,20680,20685,74801
202202091012,20680,20685,20670,20680,68392
202202091013,20680,20695,20680,20690,44063
202202091014,20690,20710,20675,20675,266834
202202091015,20675,20685,20665,20675,63363
202202091016,20675,20675,20655,20670,35343
202202091017,20665,20675,20645,20650,19345
202202091018,20650,20650,20635,20640,33036
202202091019,20640,20645,20625,20635,41770
202202091020,20640,20650,20635,20635,50329
202202091021,20640,20655,20635,20655,10229
202202091022,20655,20665,20645,20665,26277
202202091023,20660,20665,20645,20650,26570
202202091024,20655,20660,20650,20655,4016
202202091025,20655,20680,20655,20675,39802
202202091026,20675,20680,20665,20675,41103
202202091027,20675,20675,20665,20665,27724
202202091028,20665,20670,20650,20650,25952
202202091029,20660,20670,20650,20670,39881
202202091030,20670,20695,20670,20690,63487
