Time,Open,High,Low,Close,Volume
202010050900,14685,14695,14655,14680,639558
202010050901,14680,14720,14640,14640,967687
202010050902,14635,14665,14615,14635,645092
202010050903,14635,14695,14635,14685,585619
202010050904,14690,14745,14690,14735,862081
202010050905,14735,14740,14690,14715,803576
202010050906,14720,14730,14710,14710,253679
202010050907,14705,14720,14700,14710,485152
202010050908,14710,14730,14705,14715,260414
202010050909,14715,14720,14670,14670,428270
202010050910,14670,14720,14670,14705,405977
202010050911,14705,14740,14700,14735,410152
202010050912,14730,14745,14720,14735,350197
202010050913,14735,14740,14710,14710,283402
202010050914,14710,14720,14705,14710,97998
202010050915,14710,14715,14695,14700,203216
202010050916,14695,14705,14685,14690,174915
202010050917,14690,14735,14685,14725,174272
202010050918,14725,14760,14720,14760,473640
202010050919,14755,14760,14735,14740,375653
202010050920,14735,14750,14715,14730,217664
202010050921,14730,14740,14715,14730,166177
202010050922,14730,14730,14715,14720,250132
202010050923,14725,14725,14700,14705,259375
202010050924,14705,14725,14705,14725,232730
202010050925,14720,14735,14710,14710,251129
202010050926,14710,14740,14710,14725,234086
202010050927,14725,14725,14700,14700,321719
202010050928,14695,14710,14680,14685,295329
202010050929,14685,14685,14660,14665,198756
202010050930,14670,14680,14655,14660,191781
202010050931,14660,14675,14655,14665,179358
202010050932,14670,14680,14665,14675,238232
202010050933,14680,14705,14675,14700,268721
202010050934,14700,14720,14695,14715,357450
202010050935,14715,14730,14715,14715,187738
202010050936,14720,14750,14720,14730,280411
202010050937,14730,14750,14725,14735,453300
202010050938,14735,14750,14735,14745,159781
202010050939,14745,14770,14740,14755,361801
202010050940,14755,14765,14750,14765,263681
202010050941,14760,14770,14740,14750,495730
202010050942,14745,14760,14740,14745,278013
202010050943,14750,14750,14740,14750,83694
202010050944,14745,14755,14740,14745,84288
202010050945,14745,14755,14740,14745,89213
202010050946,14740,14745,14715,14730,216425
202010050947,14725,14750,14725,14745,77967
202010050948,14750,14755,14735,14735,75094
202010050949,14740,14750,14735,14750,164284
202010050950,14750,14760,14750,14755,198173
202010050951,14760,14765,14755,14755,225461
202010050952,14760,14775,14760,14775,353578
202010050953,14780,14795,14775,14785,303373
202010050954,14785,14790,14775,14780,232633
202010050955,14785,14795,14780,14790,396839
202010050956,14790,14800,14785,14795,114063
202010050957,14795,14825,14795,14820,413052
202010050958,14820,14845,14815,14840,262714
202010050959,14840,14865,14840,14860,499224
202010051000,14860,14875,14855,14870,454222
202010051001,14875,14885,14865,14880,529391
202010051002,14880,14905,14880,14900,490635
202010051003,14900,14925,14895,14925,312246
202010051004,14920,14930,14900,14910,512717
202010051005,14910,14920,14900,14910,103601
202010051006,14910,14930,14905,14920,140987
202010051007,14920,14940,14920,14930,234770
202010051008,14935,14960,14935,14945,437336
202010051009,14950,14975,14950,14970,255936
202010051010,14975,14995,14965,14990,282816
202010051011,14990,14995,14975,14980,165368
202010051012,14980,14985,14970,14970,240277
202010051013,14970,14985,14955,14965,364092
202010051014,14970,15000,14965,14995,361249
202010051015,14995,14995,14970,14980,240372
202010051016,14980,14990,14980,14990,163822
202010051017,14990,15015,14980,15005,500380
202010051018,15000,15015,14970,14970,363258
202010051019,14970,14980,14950,14955,135273
202010051020,14955,14970,14955,14955,175072
202010051021,14960,14970,14945,14960,157938
202010051022,14960,14975,14955,14960,183751
202010051023,14960,14965,14950,14955,119028
202010051024,14955,14970,14950,14965,136455
202010051025,14960,14985,14960,14980,168588
202010051026,14985,14995,14970,14975,218555
202010051027,14970,14985,14960,14970,130461
202010051028,14970,14980,14960,14965,41159
202010051029,14970,14985,14965,14970,57138
202010051030,14975,14980,14955,14960,217411
202010051031,14955,14965,14945,14965,158883
202010051032,14960,14965,14950,14955,48304
202010051033,14955,14960,14945,14955,27803
202010051034,14960,14965,14945,14955,102824
202010051035,14955,14955,14940,14945,78144
202010051036,14945,14950,14935,14940,58578
202010051037,14945,14945,14920,14930,138667
202010051038,14930,14945,14925,14940,220810
202010051039,14935,14955,14930,14955,204276
202010051040,14950,14960,14945,14955,47012
202010051041,14955,14960,14940,14950,72485
202010051042,14950,14970,14945,14960,85694
202010051043,14965,14985,14950,14980,214480
202010051044,14975,14985,14970,14980,129501
202010051045,14980,14980,14960,14970,44430
202010051046,14970,14980,14965,14975,33189
202010051047,14975,14980,14965,14980,55823
202010051048,14985,14995,14980,14990,207940
202010051049,14985,14990,14980,14990,106745
202010051050,14990,15000,14990,14995,444021
202010051051,15000,15005,14985,15000,315944
202010051052,15000,15025,14995,15000,452120
202010051053,15000,15010,14995,15000,134366
202010051054,15000,15005,14990,14995,515957
202010051055,14990,14995,14980,14985,51611
202010051056,14980,14990,14980,14990,75707
202010051057,14985,15000,14980,14995,44824
202010051058,14995,15000,14980,14985,104380
202010051059,14985,15005,14985,15005,87603
202010051100,15005,15010,14990,14990,88875
202010051101,14990,14995,14985,14985,216823
202010051102,14985,15005,14980,15000,124198
202010051103,15000,15010,14995,15005,22547
202010051104,15005,15015,15000,15010,102832
202010051105,15015,15015,15005,15010,44072
202010051106,15005,15015,15000,15010,123320
202010051107,15010,15010,14995,14995,39244
202010051108,15000,15035,14995,15030,325119
202010051109,15035,15045,15030,15035,241952
202010051110,15040,15050,15030,15045,187671
202010051111,15050,15070,15045,15065,335562
202010051112,15065,15075,15065,15070,150467
202010051113,15070,15075,15065,15070,113402
202010051114,15070,15080,15070,15075,54137
202010051115,15075,15095,15075,15085,208329
202010051116,15085,15090,15070,15070,78836
202010051117,15070,15095,15070,15090,123816
202010051118,15090,15090,15075,15080,54844
202010051119,15080,15090,15075,15085,57506
202010051120,15090,15095,15075,15075,91417
202010051121,15070,15090,15070,15080,53071
202010051122,15080,15090,15075,15080,46979
202010051123,15080,15080,15070,15075,28264
202010051124,15070,15080,15070,15080,77629
202010051125,15080,15090,15070,15075,90372
202010051126,15080,15090,15080,15090,109576
202010051127,15090,15095,15080,15080,108639
202010051128,15080,15085,15070,15085,85367
202010051129,15085,15085,15070,15085,33202
202010051130,15085,15090,15080,15080,40559
202010051131,15080,15090,15075,15085,21664
202010051132,15085,15090,15080,15080,63284
202010051133,15080,15095,15075,15090,96069
202010051134,15095,15095,15075,15080,165886
202010051135,15080,15090,15075,15080,69079
202010051136,15080,15080,15075,15075,219880
202010051137,15075,15080,15065,15080,211777
202010051138,15080,15095,15075,15095,158336
202010051139,15095,15105,15095,15105,308681
202010051140,15100,15105,15090,15090,66437
202010051141,15095,15095,15080,15080,35110
202010051142,15080,15090,15075,15090,70832
202010051143,15090,15090,15080,15085,40693
202010051144,15085,15085,15080,15085,25641
202010051145,15085,15085,15080,15080,23432
202010051146,15080,15080,15070,15075,210339
202010051147,15075,15075,15065,15075,169743
202010051148,15070,15085,15070,15085,74677
202010051149,15085,15085,15070,15070,117729
202010051150,15075,15085,15070,15080,54994
202010051151,15085,15085,15065,15065,195296
202010051152,15070,15075,15065,15075,82281
202010051153,15070,15070,15060,15060,44951
202010051154,15065,15075,15060,15065,54558
202010051155,15070,15080,15065,15070,197464
202010051156,15070,15070,15055,15070,126093
202010051157,15070,15070,15055,15060,18830
202010051158,15060,15065,15055,15055,89776
202010051159,15055,15060,15050,15055,89299
202010051200,15050,15065,15050,15065,101651
202010051201,15065,15070,15060,15070,90357
202010051202,15070,15080,15065,15075,51267
202010051203,15075,15080,15050,15055,119177
202010051204,15050,15055,15045,15055,67004
202010051205,15050,15060,15050,15050,36412
202010051206,15050,15055,15045,15055,116132
202010051207,15055,15060,15055,15055,136072
202010051208,15055,15060,15055,15060,72354
202010051209,15055,15055,15050,15055,89373
202010051210,15050,15060,15050,15050,78187
202010051211,15050,15050,15045,15045,82006
202010051212,15050,15050,15030,15035,110366
202010051213,15035,15045,15035,15045,67594
202010051214,15040,15050,15040,15050,162846
202010051215,15045,15050,15040,15045,48532
202010051216,15045,15050,15040,15045,23451
202010051217,15050,15055,15050,15050,37436
202010051218,15050,15060,15050,15055,53097
202010051219,15055,15065,15055,15055,41747
202010051220,15060,15060,15050,15050,16240
202010051221,15050,15055,15045,15050,24162
202010051222,15050,15055,15040,15055,52532
202010051223,15055,15060,15050,15055,74605
202010051224,15050,15065,15050,15065,5285
202010051225,15065,15065,15060,15060,105373
202010051226,15060,15080,15060,15075,236781
202010051227,15080,15080,15075,15080,130289
202010051228,15080,15085,15075,15085,106321
202010051229,15080,15085,15075,15080,85238
202010051230,15080,15085,15080,15085,20012
202010051231,15085,15085,15075,15075,65545
202010051232,15075,15080,15070,15070,10734
202010051233,15070,15075,15055,15060,114271
202010051234,15060,15065,15050,15055,49740
202010051235,15055,15055,15050,15050,17741
202010051236,15055,15055,15050,15050,10498
202010051237,15050,15050,15040,15040,27834
202010051238,15040,15045,15035,15040,39611
202010051239,15035,15035,15025,15030,164111
202010051240,15030,15035,15025,15030,20082
202010051241,15030,15030,15010,15020,143117
202010051242,15020,15030,15015,15030,35931
202010051243,15025,15030,15020,15030,120091
202010051244,15030,15035,15020,15035,42046
202010051245,15030,15035,15020,15020,42573
202010051246,15020,15025,15015,15020,41549
202010051247,15020,15030,15020,15030,9855
202010051248,15025,15030,15015,15020,27676
202010051249,15020,15030,15020,15030,28639
202010051250,15025,15025,15020,15025,73810
202010051251,15030,15040,15030,15040,39038
202010051252,15040,15040,15035,15035,17320
202010051253,15035,15040,15030,15035,19150
202010051254,15035,15040,15015,15015,108213
202010051255,15015,15025,15010,15025,71429
202010051256,15020,15025,15015,15015,76573
202010051257,15010,15020,14990,14995,158203
202010051258,14990,15005,14985,15005,108068
202010051259,15000,15010,14995,15000,23866
202010051300,14995,15005,14985,14990,45851
202010051301,14985,15000,14985,14995,25705
202010051302,14990,15000,14980,14985,32940
202010051303,14985,14995,14985,14990,37858
202010051304,14985,14990,14980,14985,95395
202010051305,14985,14990,14965,14975,204273
202010051306,14970,14990,14965,14990,66538
