Transaction time,opening,highest,lowest,current,amount
20201113090019_,3700,3700,3700,3700,1000
20201113090019_,3695,3695,3695,3695,19
20201113090019_,3695,3695,3695,3695,19
20201113090019_,3705,3705,3705,3705,2
20201113090019_,3700,3700,3700,3700,10
20201113090019_,3695,3695,3695,3695,46734
20201113090019_,3705,3705,3705,3705,5
20201113090020_,3700,3700,3700,3700,232
20201113090020_,3700,3700,3700,3700,26000
20201113090020_,3700,3700,3700,3700,19
20201113090020_,3700,3700,3700,3700,1
20201113090020_,3700,3700,3700,3700,136
20201113090020_,3700,3700,3700,3700,4000
20201113090020_,3700,3700,3700,3700,5
20201113090020_,3700,3700,3700,3700,19
20201113090020_,3705,3705,3705,3705,300
20201113090020_,3705,3705,3705,3705,200
20201113090020_,3705,3705,3705,3705,2724
20201113090021_,3700,3700,3700,3700,4463
20201113090021_,3705,3705,3705,3705,30
20201113090021_,3705,3705,3705,3705,56000
20201113090021_,3705,3705,3705,3705,261938
20201113090021_,3710,3710,3710,3710,200
20201113090021_,3710,3710,3710,3710,12
20201113090021_,3700,3700,3700,3700,4000
20201113090022_,3705,3705,3705,3705,20
20201113090022_,3705,3705,3705,3705,2580
20201113090022_,3705,3705,3705,3705,4000
20201113090022_,3710,3710,3710,3710,2400
20201113090022_,3705,3705,3705,3705,342
20201113090022_,3705,3705,3705,3705,100
20201113090022_,3705,3705,3705,3705,20
20201113090022_,3705,3705,3705,3705,100
20201113090022_,3705,3705,3705,3705,19
20201113090022_,3705,3705,3705,3705,19
20201113090022_,3705,3705,3705,3705,4090
20201113090022_,3705,3705,3705,3705,2000
20201113090023_,3710,3710,3710,3710,4
20201113090023_,3705,3705,3705,3705,10
20201113090023_,3705,3705,3705,3705,30
20201113090023_,3705,3705,3705,3705,200
20201113090023_,3705,3705,3705,3705,574
20201113090023_,3705,3705,3705,3705,1968
20201113090025_,3705,3705,3705,3705,3000
20201113090025_,3705,3705,3705,3705,203
20201113090025_,3705,3705,3705,3705,19
20201113090025_,3705,3705,3705,3705,10
20201113090025_,3705,3705,3705,3705,11
20201113090025_,3710,3710,3710,3710,2
20201113090025_,3705,3705,3705,3705,100
20201113090025_,3710,3710,3710,3710,22826
20201113090026_,3705,3705,3705,3705,91
20201113090026_,3705,3705,3705,3705,100
20201113090026_,3705,3705,3705,3705,100
20201113090026_,3705,3705,3705,3705,301
20201113090027_,3705,3705,3705,3705,30000
20201113090027_,3705,3705,3705,3705,63
20201113090027_,3705,3705,3705,3705,1020
20201113090027_,3705,3705,3705,3705,19
20201113090027_,3705,3705,3705,3705,136
20201113090027_,3710,3710,3710,3710,200
20201113090027_,3705,3705,3705,3705,500
20201113090028_,3705,3705,3705,3705,4000
20201113090028_,3710,3710,3710,3710,5
20201113090028_,3705,3705,3705,3705,17140
20201113090028_,3705,3705,3705,3705,270
20201113090028_,3705,3705,3705,3705,10
20201113090028_,3705,3705,3705,3705,1000
20201113090028_,3705,3705,3705,3705,27
20201113090028_,3705,3705,3705,3705,100
