Transaction time,opening,highest,lowest,current,amount
20201112090015_,3655,3655,3655,3655,1132277
20201112090015_,3655,3655,3655,3655,2
20201112090015_,3655,3655,3655,3655,123239
20201112090015_,3655,3655,3655,3655,24401
20201112090016_,3660,3660,3660,3660,2130
20201112090016_,3660,3660,3660,3660,120
20201112090016_,3660,3660,3660,3660,120
20201112090016_,3655,3655,3655,3655,3
20201112090016_,3655,3655,3655,3655,3
20201112090016_,3660,3660,3660,3660,4033
20201112090016_,3660,3660,3660,3660,5
20201112090016_,3655,3655,3655,3655,2000
20201112090016_,3655,3655,3655,3655,4
20201112090016_,3660,3660,3660,3660,136
20201112090016_,3655,3655,3655,3655,200
20201112090016_,3660,3660,3660,3660,5000
20201112090017_,3655,3655,3655,3655,1000
20201112090017_,3660,3660,3660,3660,77
20201112090017_,3660,3660,3660,3660,77
20201112090017_,3655,3655,3655,3655,1124
20201112090018_,3660,3660,3660,3660,19
20201112090018_,3655,3655,3655,3655,439
20201112090018_,3655,3655,3655,3655,1
20201112090018_,3655,3655,3655,3655,14991
20201112090018_,3655,3655,3655,3655,2
20201112090019_,3660,3660,3660,3660,500
20201112090019_,3655,3655,3655,3655,5000
20201112090019_,3655,3655,3655,3655,19
20201112090019_,3660,3660,3660,3660,55
20201112090019_,3660,3660,3660,3660,1452
20201112090019_,3660,3660,3660,3660,15000
20201112090019_,3660,3660,3660,3660,55
20201112090019_,3660,3660,3660,3660,2
20201112090020_,3655,3655,3655,3655,12000
20201112090020_,3660,3660,3660,3660,1366
20201112090020_,3655,3655,3655,3655,126333
20201112090020_,3660,3660,3660,3660,217578
20201112090020_,3660,3660,3660,3660,56900
20201112090020_,3660,3660,3660,3660,210960
20201112090021_,3655,3655,3655,3655,10000
20201112090021_,3655,3655,3655,3655,4
20201112090021_,3660,3660,3660,3660,19
20201112090021_,3655,3655,3655,3655,19
20201112090021_,3655,3655,3655,3655,19
20201112090021_,3660,3660,3660,3660,300
20201112090021_,3665,3665,3665,3665,538
20201112090022_,3660,3660,3660,3660,3
20201112090022_,3665,3665,3665,3665,400
20201112090022_,3660,3660,3660,3660,1000
20201112090022_,3665,3665,3665,3665,55
20201112090022_,3665,3665,3665,3665,8598
20201112090023_,3660,3660,3660,3660,7000
20201112090023_,3665,3665,3665,3665,8598
20201112090023_,3660,3660,3660,3660,3000
20201112090023_,3660,3660,3660,3660,1089
20201112090023_,3665,3665,3665,3665,8598
20201112090024_,3665,3665,3665,3665,8598
20201112090024_,3660,3660,3660,3660,1
20201112090024_,3660,3660,3660,3660,2046
20201112090024_,3660,3660,3660,3660,799
20201112090024_,3665,3665,3665,3665,8598
20201112090024_,3665,3665,3665,3665,199
20201112090024_,3665,3665,3665,3665,19
20201112090024_,3660,3660,3660,3660,7
20201112090024_,3660,3660,3660,3660,100
20201112090024_,3665,3665,3665,3665,8598
20201112090024_,3660,3660,3660,3660,2000
20201112090025_,3660,3660,3660,3660,30000
20201112090025_,3665,3665,3665,3665,16695
20201112090025_,3665,3665,3665,3665,8598
20201112090025_,3665,3665,3665,3665,400
20201112090025_,3660,3660,3660,3660,100
20201112090026_,3665,3665,3665,3665,55
20201112090026_,3660,3660,3660,3660,180
20201112090026_,3660,3660,3660,3660,2000
20201112090026_,3660,3660,3660,3660,300
20201112090026_,3660,3660,3660,3660,200
20201112090027_,3665,3665,3665,3665,10747
20201112090027_,3665,3665,3665,3665,12
20201112090027_,3660,3660,3660,3660,19
20201112090027_,3660,3660,3660,3660,1167
20201112090027_,3665,3665,3665,3665,1
20201112090027_,3660,3660,3660,3660,2
20201112090027_,3660,3660,3660,3660,1
20201112090027_,3660,3660,3660,3660,19
20201112090027_,3660,3660,3660,3660,19
20201112090027_,3665,3665,3665,3665,2000
20201112090027_,3665,3665,3665,3665,74
20201112090028_,3665,3665,3665,3665,500
20201112090028_,3665,3665,3665,3665,19
20201112090028_,3665,3665,3665,3665,7462
20201112090028_,3665,3665,3665,3665,500
20201112090028_,3660,3660,3660,3660,2298
20201112090029_,3665,3665,3665,3665,500
20201112090029_,3660,3660,3660,3660,1500
20201112090029_,3665,3665,3665,3665,500
20201112090029_,3665,3665,3665,3665,5
20201112090029_,3660,3660,3660,3660,48054
20201112090029_,3665,3665,3665,3665,55
20201112090029_,3665,3665,3665,3665,6107
20201112090029_,3665,3665,3665,3665,74
20201112090029_,3660,3660,3660,3660,100
20201112090029_,3660,3660,3660,3660,500
20201112090030_,3665,3665,3665,3665,546
20201112090030_,3665,3665,3665,3665,245
20201112090030_,3660,3660,3660,3660,4
20201112090030_,3665,3665,3665,3665,27
20201112090030_,3665,3665,3665,3665,16695
20201112090030_,3665,3665,3665,3665,5000
20201112090031_,3665,3665,3665,3665,100
20201112090031_,3665,3665,3665,3665,2
20201112090031_,3665,3665,3665,3665,2000
20201112090031_,3665,3665,3665,3665,2000
20201112090031_,3665,3665,3665,3665,2000
20201112090031_,3665,3665,3665,3665,2000
20201112090031_,3665,3665,3665,3665,2000
20201112090031_,3665,3665,3665,3665,19
20201112090031_,3665,3665,3665,3665,16695
20201112090031_,3660,3660,3660,3660,20
20201112090032_,3665,3665,3665,3665,16695
20201112090032_,3665,3665,3665,3665,10000
20201112090032_,3660,3660,3660,3660,200
20201112090032_,3665,3665,3665,3665,17654
20201112090032_,3665,3665,3665,3665,55
20201112090032_,3665,3665,3665,3665,10000
20201112090032_,3665,3665,3665,3665,55
20201112090032_,3665,3665,3665,3665,10
20201112090033_,3660,3660,3660,3660,1
20201112090033_,3665,3665,3665,3665,136
20201112090033_,3665,3665,3665,3665,1
20201112090033_,3660,3660,3660,3660,100
20201112090033_,3660,3660,3660,3660,2500
20201112090033_,3665,3665,3665,3665,100
20201112090033_,3660,3660,3660,3660,50
20201112090033_,3660,3660,3660,3660,5000
20201112090034_,3660,3660,3660,3660,649
20201112090034_,3660,3660,3660,3660,1000
20201112090034_,3660,3660,3660,3660,2000
