Transaction date,opening,highest,lowest,current,amount
20171026_,17895,17935,17700,17700,7872512
20171027_,17735,17975,17675,17925,10223450
20171030_,18100,18130,17980,18015,8176153
20171031_,18040,18455,17975,18405,16874801
20171101_,18580,18965,18560,18965,22356337
20171102_,18980,19020,18770,18860,12866372
20171103_,18965,19030,18695,18960,14365863
20171106_,18925,18980,18505,18790,19903767
20171107_,18805,18920,18700,18745,14558853
20171108_,18585,18990,18540,18875,14595328
20171109_,18950,18965,18570,18780,15097663
20171110_,18580,18730,18520,18635,9614641
20171113_,18660,18805,18430,18480,12222587
20171114_,18480,18525,18360,18425,9655036
20171115_,18370,18385,18165,18255,10529989
20171116_,18300,18520,18225,18470,8776308
20171117_,18640,18875,18460,18460,16710264
20171120_,18490,18550,18220,18280,8613599
20171121_,18400,18505,18285,18385,6320868
20171122_,18595,18750,18475,18560,10104304
20171123_,18610,18615,18430,18485,5012206
20171124_,18510,18550,18395,18550,4893586
20171127_,18595,18600,17900,17920,17423061
20171128_,17930,18120,17825,18035,8353695
20171129_,18100,18210,17985,18035,6335441
20171130_,17790,17910,17395,17395,15334329
20171201_,17550,17580,17345,17425,10737171
20171204_,17550,17750,17400,17750,8350341
20171205_,17610,17955,17530,17875,9405393
20171206_,17890,17905,17370,17370,9723406
20171207_,17445,17470,17135,17265,10556408
20171208_,17365,17445,17230,17335,7525011
20171211_,17395,17425,17225,17380,6083153
20171212_,17400,17405,17205,17250,6302026
20171213_,17300,17555,17215,17500,7742364
20171214_,17575,18010,17550,17610,13202157
20171215_,17710,17785,17455,17520,8021471
20171218_,17580,17630,17485,17585,5357833
20171219_,17685,17885,17500,17585,8433845
20171220_,17500,17670,17490,17520,4552535
20171221_,17430,17485,16840,16840,15979013
20171222_,16930,17050,16820,16985,8355807
20171226_,17050,17245,16850,16850,11265402
20171227_,16960,17210,16890,17200,8424247
20171228_,17225,17650,17220,17650,10110980
20180102_,17730,17880,17655,17800,7913541
20180103_,17930,18055,17860,17925,7838943
20180104_,18125,18150,17645,17665,12928940
20180105_,17750,18110,17750,18110,9481613
20180108_,18280,18440,18085,18360,15383829
20180109_,18295,18525,18090,18255,12909095
20180110_,18345,18360,17940,17990,10290704
20180111_,17950,18020,17725,17815,10105372
20180112_,17930,17970,17635,17890,11544928
20180115_,18060,18130,17850,17955,8489742
20180116_,17940,18295,17880,18250,10192757
20180117_,18160,18255,18035,18145,8119894
20180118_,18335,18440,18100,18140,11372208
20180119_,18195,18280,18105,18175,5732070
20180122_,18120,18135,17650,17805,11511571
20180123_,17950,18295,17920,18295,10238049
20180124_,18260,18515,18260,18355,10660803
20180125_,18295,18720,18285,18690,19058352
20180126_,18655,18805,18565,18805,10316275
20180129_,18975,19240,18975,19095,21863999
20180130_,19005,19105,18595,18605,14410796
20180131_,18430,19135,18425,18680,20387453
20180201_,18735,18825,18540,18610,11695148
20180202_,18505,18540,17815,17905,28679117
20180205_,17410,17595,17225,17495,22071553
20180206_,16805,17045,16340,16945,41553240
20180207_,17215,17295,16110,16120,32122967
20180208_,16170,16505,16035,16370,26091147
20180209_,15320,15665,15275,15540,30251675
20180212_,15720,16000,15540,15870,18267176
20180213_,16100,16465,15950,16120,24014804
20180214_,16300,16595,16300,16505,13907470
20180219_,16905,16965,16505,16700,18754612
20180220_,16575,16605,16240,16270,12291940
20180221_,16320,16530,16090,16475,12357472
20180222_,16285,16350,16110,16265,9026019
20180223_,16370,16740,16370,16740,13381348
20180226_,16865,16920,16665,16785,10400985
20180227_,16970,17140,16710,16710,13408874
20180228_,16610,16755,16275,16290,13204995
20180302_,15945,16010,15670,15855,23767405
20180305_,15775,15865,15405,15425,19884736
20180306_,15730,16055,15675,16045,14334983
20180307_,16100,16400,15885,16070,18816781
20180308_,16315,16390,16120,16390,12631481
20180309_,16555,17050,16450,16765,27145068
20180312_,17105,17195,16950,17080,17628997
20180313_,17070,17255,17020,17255,14802994
20180314_,17000,17220,17000,17215,12442515
20180315_,17240,17360,16975,17335,17378534
20180316_,17280,17350,17025,17255,16031335
20180319_,17250,17275,16955,17015,14679351
20180320_,16785,17165,16755,17165,11253365
20180321_,17185,17295,17135,17190,9529620
20180322_,17240,17515,17190,17335,19855893
20180323_,16605,16695,16080,16150,30572550
20180326_,16115,16425,15905,16425,19223840
20180327_,16625,16695,16490,16585,15096313
20180328_,16230,16245,15965,16140,23952244
20180329_,16185,16460,16060,16430,17452034
20180330_,16595,16715,16500,16500,12909484
20180402_,16505,16735,16390,16435,12302595
20180403_,16125,16330,16005,16330,14059051
20180404_,16365,16380,15790,15825,20684006
20180405_,16080,16415,16010,16300,19649364
20180406_,16085,16195,15930,16130,14362073
20180409_,16050,16375,16045,16335,12511200
20180410_,16200,16460,15930,16375,23396384
20180411_,16440,16495,16230,16265,12644161
20180412_,16370,16445,16265,16275,12307557
20180413_,16410,16505,16300,16455,12818779
20180416_,16580,16615,16390,16475,10248810
20180417_,16505,16610,16385,16445,10603978
20180418_,16625,16910,16625,16800,21005075
20180419_,16885,17045,16840,16985,12575783
20180420_,16805,16905,16710,16750,9784606
20180423_,16690,16805,16625,16730,7834611
20180424_,16785,16800,16400,16570,13374116
20180425_,16320,16385,16180,16335,14146709
20180426_,16440,16865,16420,16760,16365743
20180427_,17040,17265,16915,17055,21488092
20180430_,17185,17255,17085,17200,10358560
20180502_,17150,17190,16945,16985,7752917
20180503_,16910,16990,16765,16895,7740451
20180504_,16875,16935,16625,16640,13414217
20180508_,16770,16845,16430,16490,8314664
20180509_,16490,16535,16180,16405,11686025
20180510_,16545,16645,16455,16595,8334275
20180511_,16750,16915,16720,16790,9357892
20180514_,16855,16890,16665,16705,6692844
20180515_,16675,16760,16370,16430,10163697
20180516_,16280,16595,16260,16535,7163335
20180517_,16630,16720,16380,16380,6313112
20180518_,16450,16500,16380,16490,5328826
20180521_,16530,16635,16260,16555,9495567
20180523_,16525,16790,16490,16760,10853964
20180524_,16805,16840,16565,16650,9254386
20180525_,16490,16780,16475,16715,11110059
20180528_,16800,16885,16765,16855,9472023
20180529_,16810,16845,16525,16535,11250678
20180530_,16400,16405,15640,15825,40059396
20180531_,16015,16015,15825,15955,13258712
20180601_,15905,16255,15835,16125,12967452
20180604_,16180,16380,16155,16320,11370512
20180605_,16340,16400,16120,16395,11341471
20180607_,16505,16760,16505,16660,18502677
20180608_,16570,16605,16305,16335,10359368
20180611_,16390,16610,16315,16600,11429555
20180612_,16670,16735,16515,16565,12875868
20180614_,16370,16380,15960,16020,22126084
20180615_,16140,16140,15800,15800,17973224
20180618_,15835,15840,15280,15420,16309260
20180619_,15365,15440,14940,15020,15055748
20180620_,15105,15405,15040,15270,14804687
20180621_,15210,15330,14945,14955,11761176
20180622_,14730,15180,14685,15180,18975520
20180625_,15150,15250,14875,15200,12356283
20180626_,14900,15215,14800,15160,15817615
20180627_,15075,15230,15010,15050,11229818
20180628_,14930,15010,14685,14750,14343824
20180629_,14805,14905,14485,14815,15348211
20180702_,14780,14865,14160,14175,17360237
