Transaction date,opening,highest,lowest,current,amount
20191004_,11755,11955,11720,11720,19074976
20191007_,11860,11915,11675,11755,16060497
20191008_,11790,12095,11790,12070,21136026
20191010_,11840,11995,11590,11900,32348608
20191011_,12135,12165,11995,12065,21600380
20191014_,12345,12435,12300,12320,17085213
20191015_,12295,12385,12275,12340,13136007
20191016_,12495,12610,12405,12485,20216119
20191017_,12525,12535,12355,12400,10130590
20191018_,12450,12560,12150,12160,16040085
20191021_,12200,12300,12185,12285,9240835
20191022_,12425,12660,12395,12625,17336459
20191023_,12570,12605,12420,12470,11377061
20191024_,12580,12610,12325,12540,15204678
20191025_,12605,12625,12440,12555,10825206
20191028_,12670,12765,12585,12635,11796892
20191029_,12740,12780,12550,12590,13566288
20191030_,12610,12625,12365,12390,13971218
20191031_,12530,12730,12450,12470,16166499
20191101_,12470,12670,12415,12665,10318602
20191104_,12800,13060,12800,13050,17094394
20191105_,13080,13235,13040,13210,15246844
20191106_,13220,13400,13175,13225,19255550
20191107_,13185,13265,13100,13195,10729631
20191108_,13345,13380,13075,13100,14478508
20191111_,13110,13110,12855,12880,10990680
20191112_,12980,13145,12895,13140,9551978
20191113_,13055,13055,12855,12910,13937695
20191114_,12940,13100,12910,13100,12975608
20191115_,13180,13520,13115,13480,22993642
20191118_,13510,13510,13375,13455,11366122
20191119_,13315,13380,13150,13340,16348186
20191120_,13205,13275,12990,13015,14188155
20191121_,12960,12995,12545,12610,23528284
20191122_,12650,12780,12625,12740,10989342
20191125_,12875,13105,12875,13015,13123270
20191126_,13095,13235,13020,13025,20976137
20191127_,13100,13190,12915,13040,12329260
20191128_,12900,13030,12865,12925,8720603
20191129_,12970,13015,12455,12470,21332558
20191202_,12630,12720,12535,12575,11259136
20191203_,12335,12470,12225,12440,15083737
20191204_,12260,12305,12125,12255,16391520
20191205_,12390,12465,12115,12220,17344067
20191206_,12305,12515,12305,12480,13758595
20191209_,12580,12655,12505,12605,11181598
20191210_,12550,12735,12490,12730,10713113
20191211_,12700,12855,12640,12830,14309724
20191212_,12950,13265,12915,13265,17018885
20191213_,13570,13725,13560,13720,22113574
20191216_,13685,13785,13675,13690,15927755
20191217_,13800,14105,13745,14065,22756663
20191218_,14090,14230,13990,14050,15466984
20191219_,14165,14225,13955,14080,13986524
20191220_,14190,14210,14050,14145,12985650
20191223_,14255,14270,14050,14125,10422755
20191224_,14145,14165,13925,13930,8808411
20191226_,13940,14125,13845,14045,9833293
20191227_,14175,14700,14135,14485,25871608
20191230_,14470,14555,14400,14425,7844724
20200102_,14425,14470,14015,14060,12770663
20200103_,14305,14465,13910,14070,22193579
20200106_,13820,13950,13785,13840,11065698
20200107_,13990,14230,13955,14115,12317210
20200108_,13905,14090,13750,13955,15903202
20200109_,14300,14395,14210,14395,12209364
20200110_,14420,14670,14395,14650,19235749
20200113_,14660,14970,14630,14970,18529542
20200114_,15130,15300,15060,15100,20708630
20200115_,15020,15060,14855,14910,10481844
20200116_,14910,15250,14875,15250,11889208
20200117_,15395,15550,15225,15305,15733296
20200120_,15420,15695,15415,15535,17193413
20200121_,15475,15550,15140,15160,10821776
20200122_,15070,15595,15060,15570,15833417
20200123_,15375,15410,15150,15190,14456065
20200128_,14465,14610,14155,14315,19627071
20200129_,14420,14485,14195,14355,18747378
20200130_,14310,14355,13700,13800,21511988
20200131_,13965,14065,13495,13500,23114273
20200203_,13155,13620,13040,13505,38933231
20200204_,13510,14050,13490,13995,32558778
20200205_,14275,14335,13970,14115,25175014
20200206_,14395,14990,14370,14960,33957205
20200207_,14850,14875,14505,14690,24263145
20200210_,14340,14560,14230,14520,22381920
20200211_,14585,14995,14585,14815,25870152
20200212_,14760,15115,14690,15075,24018614
20200213_,15160,15320,14915,14980,30836951
20200214_,14945,15295,14785,15165,26682334
20200217_,15140,15280,14995,15165,20306585
20200218_,14950,14995,14615,14660,26924962
20200219_,14815,14880,14430,14715,31402123
20200220_,14915,14980,14380,14570,34087399
20200221_,14130,14395,14060,14115,27280886
20200224_,13565,13585,13050,13090,54223745
20200225_,12980,13350,12925,13350,46092725
20200226_,12830,13115,12750,12990,50965815
20200227_,12900,13025,12600,12680,56420786
20200228_,12340,12400,11810,11890,77195789
20200302_,12005,12235,11680,12100,67379180
20200303_,12600,12670,12070,12170,62804661
20200304_,11995,12780,11995,12735,56395689
20200305_,12900,13085,12680,12960,52569104
20200306_,12650,12740,12330,12440,53915669
20200309_,11850,11880,11305,11505,81658729
20200310_,11420,11590,11215,11570,89474734
20200311_,11460,11530,10730,10870,85614537
20200312_,10650,10710,9705,9985,149276466
20200313_,8615,9970,8520,9535,217764791
20200316_,9620,9900,8795,8800,139803278
20200317_,8130,8960,8070,8485,276339551
20200318_,8490,8600,7535,7535,207660013
20200319_,7875,7965,6165,6450,348129036
20200320_,6840,7350,6470,7350,317997413
20200323_,6415,6845,6285,6490,254018216
20200324_,6835,7670,6645,7670,321288874
20200325_,8065,8500,7835,8410,359958109
20200326_,8410,8735,8115,8115,283611698
20200327_,8835,8930,8010,8490,258365393
20200330_,8050,8660,7930,8450,239716673
20200331_,8615,8815,8460,8720,187071260
20200401_,8585,8795,7945,7945,140887045
20200402_,8050,8435,7805,8400,237250899
20200403_,8405,8575,8190,8380,150449062
20200406_,8565,9130,8550,9070,175582249
20200407_,9415,9585,9060,9395,221737182
20200408_,9290,9545,9120,9120,169280171
20200409_,9470,9480,9215,9390,147405268
20200410_,9350,9550,9285,9530,111280201
20200413_,9435,9465,9195,9200,95006089
20200414_,9370,9645,9295,9545,111920517
20200416_,9375,9585,9230,9540,103662353
20200417_,9915,10320,9910,10145,151077291
20200420_,10100,10190,9850,9915,79246350
20200421_,9765,9880,9350,9680,185576837
20200422_,9400,9895,9305,9855,122360265
20200423_,9950,10130,9820,10030,127948825
20200424_,9895,9950,9645,9715,106138677
20200427_,9800,10200,9765,10115,100714810
20200428_,10175,10295,9980,10235,104981824
20200429_,10250,10515,10200,10375,97467704
20200504_,9885,10025,9740,9770,109536575
20200506_,10025,10100,9825,10100,92909407
20200507_,10005,10210,9970,10085,65709449
20200508_,10215,10385,10215,10260,66911814
20200511_,10315,10425,10075,10100,73558479
20200512_,10100,10145,9795,9960,93311711
20200513_,9710,10175,9695,10175,82152449
20200514_,10000,10060,9865,9945,87705201
20200515_,10105,10130,9880,10020,89647332
20200518_,10115,10210,9960,10165,71733450
20200519_,10575,10725,10535,10680,83759982
20200520_,10580,10790,10570,10730,56503649
20200521_,10865,10900,10775,10810,62085428
20200522_,10815,10845,10370,10460,83440623
20200525_,10570,10725,10420,10725,59046348
20200526_,10765,11110,10740,11110,78303825
20200527_,11000,11245,10975,11130,76566667
20200528_,11295,11425,10935,11185,99287996
20200529_,11055,11285,10940,11160,78824764
20200601_,11215,11585,11200,11585,70554789
20200602_,11585,11870,11525,11835,71398141
20200603_,12050,12850,12050,12680,120807314
20200604_,13000,13300,12645,12720,123866486
20200605_,12650,13175,12585,13160,93994027
20200608_,13610,13630,13035,13125,104294349
20200609_,13330,13490,12865,13110,96774783
20200610_,13110,13305,13010,13210,76089189
20200611_,12985,13225,12500,12720,98193329
20200612_,11950,12310,11810,12235,120787610
20200615_,11980,12155,11010,11010,108611045
20200616_,11625,12315,11520,12315,108269670
20200617_,12250,12470,11885,12300,128431599
20200618_,12185,12325,12030,12230,76589759
20200619_,12480,12500,11915,12285,101170381
20200622_,12075,12350,12060,12175,70244628
20200623_,12345,12545,11970,12210,119401529
20200624_,12360,12750,12310,12630,77302757
20200625_,12210,12395,11955,11955,101259290
20200626_,12230,12395,12035,12280,81060229
20200629_,11990,12195,11800,11890,85554037
20200630_,12260,12380,12085,12090,77695103
20200701_,12300,12380,12040,12090,76737865
20200702_,12180,12380,12150,12380,59745604
20200703_,12485,12630,12380,12615,58097741
20200706_,12680,13080,12635,13025,62830887
20200707_,13260,13260,12695,12710,82053964
20200708_,12740,12825,12560,12645,54518282
20200709_,12760,12935,12725,12765,51287364
20200710_,12780,12815,12390,12495,68754452
20200713_,12740,12990,12660,12975,51767755
20200714_,12805,12950,12690,12950,53720171
20200715_,13200,13370,13065,13185,65487268
20200716_,13170,13205,12830,12915,52371577
20200717_,12925,13140,12925,13105,46871952
20200720_,13190,13210,12870,13040,41137758
20200721_,13285,13510,13245,13415,55016827
20200722_,13400,13500,13270,13315,40381939
20200723_,13315,13320,12980,13150,61632754
20200724_,12910,13175,12890,13010,46100490
20200727_,12960,13395,12960,13260,44526952
20200728_,13500,13950,13465,13800,58274268
20200729_,13850,14125,13780,13945,58330753
20200730_,14090,14200,13985,13985,45354566
20200731_,14095,14210,13730,13780,58384016
20200803_,13780,13850,13595,13760,37650559
20200804_,13920,14195,13915,14085,48974360
20200805_,14155,14405,14070,14405,42466107
20200806_,14540,15025,14500,14865,64415044
20200807_,14960,15150,14725,15000,57017058
20200810_,14935,15465,14900,15420,47177636
20200811_,15455,15985,15435,15840,63221443
20200812_,15700,15995,15465,15995,46870422
20200813_,16220,16330,15650,15990,57331158
20200814_,15935,15985,15370,15640,54149649
20200818_,15800,15885,14905,15010,50533337
20200819_,15265,15410,15060,15120,39800081
20200820_,14885,14995,13890,13960,88667816
20200821_,14250,14690,14065,14360,88176084
20200824_,14390,14730,14105,14675,57328722
20200825_,14935,15110,14755,15070,57873117
20200826_,15030,15175,14680,15065,54938457
20200827_,15150,15175,14800,14800,50977486
20200828_,15005,15275,14780,14935,63893453
20200831_,15170,15290,14470,14485,67380017
20200901_,14485,14790,14460,14690,50091935
20200902_,14885,14965,14550,14825,55011791
20200903_,15100,15390,15085,15285,51655860
20200904_,14500,14910,14485,14855,53496348
20200907_,14890,15065,14735,14980,37397858
20200908_,15235,15365,15110,15365,42357668
20200909_,15010,15210,14940,15020,40643337
20200910_,15300,15380,15180,15295,37269157
20200911_,15155,15280,14945,15250,46390128
20200914_,15525,15720,15465,15685,35420567
20200915_,15795,15950,15645,15930,47126371
20200916_,15875,16015,15765,15825,44113563
20200917_,15770,15795,15290,15350,67294499
20200918_,15480,15535,15265,15465,53904047
20200921_,15400,15685,15105,15190,54772040
20200922_,15135,15195,14340,14475,87031205
20200923_,14650,14715,13995,14565,118073758
20200924_,14185,14295,13870,13915,93336355
20200925_,14090,14155,13890,14040,70132452
20200928_,14305,14505,14175,14450,47310986
20200929_,14735,14810,14560,14645,60068100
20201005_,14685,15120,14615,15030,51672946
20201006_,15165,15290,14980,15085,51113915
20201007_,14880,15390,14850,15390,46505350
20201008_,15630,15660,15300,15415,54250155
20201012_,15555,15635,15425,15530,42688597
20201013_,15710,15745,15320,15545,57859984
20201014_,15565,15595,15180,15240,58906471
20201015_,15180,15220,14875,15015,60844042
20201016_,15060,15150,14635,14835,62520768
20201019_,14985,15135,14885,14910,45888489
20201020_,14755,15115,14665,15115,62337674
20201021_,15150,15290,15065,15220,48358813
20201022_,15060,15065,14815,15000,53780739
20201023_,15120,15205,14875,15105,50517474
20201026_,15170,15300,15005,15015,47012732
20201027_,14840,15005,14710,14800,46822611
20201028_,14660,14945,14585,14945,34500757
20201029_,14545,14645,14295,14625,68556019
20201030_,14500,14515,13820,13860,69968858
20201102_,13885,14270,13855,14240,47810267
20201103_,14340,14850,14335,14820,49844786
20201104_,15085,15175,14765,15000,119623105
20201105_,15195,15695,15135,15670,68150084
20201106_,15800,16000,15665,15765,62338330
20201109_,16060,16385,16040,16165,66381491
20201110_,16280,16285,15925,16140,71041610
20201111_,16220,16695,16220,16665,60856969
20201112_,16610,16690,16405,16510,55794618
20201113_,16360,16860,16345,16840,54863087
