Time,Open,High,Low,Close,Volume
202108180900,411.3,411.8,410.6,410.8,5644
202108180901,410.8,411.05,410.45,410.6,2756
202108180902,410.6,410.75,410.35,410.6,2296
202108180903,410.6,410.95,410.4,410.6,1779
202108180904,410.65,411.2,410.55,410.85,1877
202108180905,410.85,411.05,410.5,411.05,1544
202108180906,411.05,411.3,410.65,410.85,1845
202108180907,410.85,411.05,410.6,410.8,1118
202108180908,410.8,411.55,410.75,411.35,2295
202108180909,411.35,411.6,411.2,411.4,1485
202108180910,411.4,411.5,410.9,411.3,1792
202108180911,411.3,411.5,411.05,411.1,1223
202108180912,411.1,411.1,410.6,410.65,1551
202108180913,410.6,410.8,410.35,410.6,2098
202108180914,410.6,410.6,410.35,410.55,937
202108180915,410.55,411.15,410.5,411.1,2332
202108180916,411.15,411.2,410.75,410.8,1294
202108180917,410.85,410.95,410.35,410.6,2046
202108180918,410.6,411.0,410.45,410.75,1466
202108180919,410.75,410.85,410.35,410.45,1352
202108180920,410.45,410.45,409.45,409.5,4484
202108180921,409.5,409.95,409.45,409.65,2502
202108180922,409.65,410.05,409.55,409.6,2158
202108180923,409.65,409.7,409.1,409.15,1746
202108180924,409.15,409.35,409.1,409.15,1738
202108180925,409.15,409.55,409.0,409.45,3047
202108180926,409.5,409.95,409.45,409.85,1947
202108180927,409.9,410.4,409.7,410.15,2323
202108180928,410.15,410.55,410.1,410.55,1405
202108180929,410.6,410.6,410.2,410.25,1448
202108180930,410.25,411.15,410.2,411.1,2671
202108180931,411.1,411.25,410.85,411.1,2544
202108180932,411.05,411.1,410.8,411.05,1279
202108180933,411.05,411.5,410.95,411.5,2057
202108180934,411.45,411.6,411.25,411.45,1494
202108180935,411.45,411.7,411.25,411.3,2041
202108180936,411.35,411.4,410.95,411.2,1604
202108180937,411.2,411.25,410.85,411.0,971
202108180938,410.95,411.2,410.9,411.05,742
202108180939,411.05,411.25,410.95,411.05,670
202108180940,411.05,411.4,411.05,411.35,871
202108180941,411.4,411.55,411.25,411.4,947
202108180942,411.4,411.95,411.35,411.95,1901
202108180943,411.95,412.15,411.8,412.0,1804
202108180944,412.05,412.2,412.05,412.2,943
202108180945,412.2,412.3,411.9,412.0,1512
202108180946,412.0,412.3,412.0,412.3,719
202108180947,412.25,412.35,412.0,412.05,823
202108180948,412.05,412.05,411.55,411.6,1683
202108180949,411.6,411.7,411.45,411.5,1072
202108180950,411.55,412.0,411.55,411.9,1325
