Transaction date,opening,highest,lowest,current,amount
20180409_,6235,6240,6110,6125,9889548
20180410_,6175,6280,6075,6110,17456981
20180411_,6105,6165,6065,6145,14393808
20180412_,6110,6155,6080,6155,11663985
20180413_,6115,6140,6060,6075,9665126
20180416_,6020,6105,6015,6065,5699625
20180417_,6065,6105,6020,6080,6805829
20180418_,6000,6015,5910,5945,11944664
20180419_,5900,5935,5860,5885,7351793
20180420_,5940,5975,5910,5965,9401013
20180423_,5980,6010,5945,5970,6236998
20180424_,5960,6090,5950,6035,8679809
20180425_,6130,6180,6100,6120,11360987
20180426_,6075,6085,5915,5955,12066345
20180427_,5850,5895,5770,5835,11477975
20180430_,5805,5835,5770,5780,6635434
20180502_,5800,5880,5790,5865,7462518
20180503_,5905,5945,5870,5910,7627650
20180504_,5920,6000,5885,5995,8457277
20180508_,5945,6070,5920,6050,9455108
20180509_,6050,6165,6035,6080,11087451
20180510_,6025,6065,5990,6005,7371186
20180511_,5945,5970,5895,5935,6075620
20180514_,5925,5985,5905,5965,4399289
20180515_,5980,6090,5945,6070,7155370
20180516_,6125,6130,6010,6035,8429119
20180517_,6005,6085,5965,6080,6351038
20180518_,6060,6085,6040,6045,6668145
20180521_,6020,6130,5990,6020,9015506
20180523_,6045,6050,5935,5945,8675912
20180524_,5920,6020,5920,5980,6760108
20180525_,6040,6050,5940,5960,7604983
20180528_,5910,5945,5900,5915,4969411
20180529_,5935,6030,5920,6025,7623557
20180530_,6080,6360,6075,6290,16550381
20180531_,6220,6290,6210,6240,6951654
20180601_,6255,6285,6115,6160,7628350
20180604_,6140,6160,6070,6095,5234504
20180605_,6085,6175,6060,6065,7964216
20180607_,6000,6015,5925,5960,9274489
20180608_,5985,6095,5980,6085,7799103
20180611_,6055,6085,5970,5970,6320242
20180612_,5960,6015,5935,5990,7486027
20180614_,6060,6215,6055,6210,12024691
20180615_,6170,6275,6165,6275,8999828
20180618_,6270,6480,6265,6420,13758657
20180619_,6450,6625,6410,6600,14538197
20180620_,6545,6585,6415,6490,13457923
20180621_,6510,6620,6455,6620,13564842
20180622_,6730,6740,6505,6505,15468204
20180625_,6520,6645,6485,6505,12320080
20180626_,6630,6685,6500,6530,17433425
20180627_,6565,6590,6495,6565,11688319
20180628_,6620,6730,6590,6710,14206060
20180629_,6680,6825,6635,6670,15984783
20180702_,6700,6970,6655,6970,20050900
20180703_,6875,7055,6865,6940,28318280
20180704_,6945,7010,6885,6985,20838619
20180705_,6990,7100,6930,7020,22434529
20180706_,7040,7085,6860,6920,26351877
20180709_,6910,6965,6770,6820,14004625
20180710_,6760,6810,6720,6800,9454802
20180711_,6890,7010,6840,6875,20792684
20180712_,6845,6910,6765,6840,14183928
20180713_,6820,6825,6655,6685,19506961
20180716_,6680,6745,6650,6730,7007371
20180717_,6745,6820,6700,6750,16907335
20180718_,6660,6800,6615,6785,9889372
20180719_,6725,6830,6710,6815,10423455
20180720_,6800,6895,6725,6750,17435238
20180723_,6755,6885,6755,6855,13041693
20180724_,6835,6915,6795,6810,9992980
20180725_,6800,6860,6735,6840,10799568
20180726_,6760,6830,6690,6760,9914732
20180727_,6730,6780,6715,6715,5207493
20180730_,6750,6805,6705,6745,7601351
20180731_,6750,6785,6715,6735,6058860
20180801_,6700,6710,6625,6675,7865491
20180802_,6690,6940,6685,6915,19770487
20180803_,6875,6920,6810,6815,9732746
20180806_,6795,6835,6735,6825,9190776
20180807_,6810,6875,6735,6735,13334203
20180808_,6710,6755,6690,6740,8273408
20180809_,6750,6810,6725,6745,12884069
20180810_,6785,6920,6775,6890,14886527
20180813_,6985,7150,6975,7075,16206167
20180814_,7065,7085,6990,7005,9727242
20180816_,7215,7285,7110,7150,17077708
20180817_,7145,7185,7115,7150,10716786
20180820_,7100,7165,7025,7140,8613105
20180821_,7150,7180,6970,6990,11213708
20180822_,6970,7000,6900,6940,8144506
20180823_,6885,6965,6880,6885,5972057
20180824_,6925,6960,6800,6820,8557419
20180827_,6765,6825,6735,6750,6446330
20180828_,6690,6750,6660,6745,6341434
20180829_,6730,6755,6690,6710,6795150
20180830_,6690,6740,6620,6695,9333529
20180831_,6760,6795,6645,6650,10214875
20180903_,6670,6750,6660,6730,7660600
20180904_,6725,6760,6655,6660,6936477
20180905_,6715,6865,6690,6840,8165472
20180906_,6860,6900,6800,6870,11556103
20180907_,6960,7040,6890,6930,17395125
20180910_,6960,6970,6885,6905,7434837
20180911_,6930,7000,6860,6950,9787648
20180912_,6945,7025,6915,6965,5991787
20180913_,6955,6975,6915,6945,4735616
20180914_,6845,6845,6705,6725,9545124
20180917_,6760,6870,6760,6825,5454226
20180918_,6910,6930,6760,6760,8995843
20180919_,6710,6815,6710,6760,6119309
20180920_,6720,6735,6575,6640,14048092
20180921_,6600,6645,6575,6575,6168979
20180927_,6600,6615,6460,6475,6665108
20180928_,6470,6565,6470,6555,5338663
20181001_,6530,6615,6500,6570,4829783
20181002_,6590,6740,6540,6730,9925661
20181004_,6720,6965,6715,6955,11510403
20181005_,6970,7055,6910,6960,15125311
20181008_,7035,7040,6925,7035,7196986
20181010_,7005,7180,7005,7125,11417502
20181011_,7450,7740,7280,7720,22110467
20181012_,7720,7745,7425,7540,19824571
20181015_,7590,7685,7565,7655,13531952
20181016_,7595,7710,7530,7690,10800725
20181017_,7480,7555,7400,7500,12283773
20181018_,7555,7640,7505,7630,9993627
20181019_,7740,7840,7545,7565,17023504
20181022_,7665,7710,7495,7530,10948567
20181023_,7655,7975,7630,7895,18747738
20181024_,7795,8000,7790,7970,25694960
20181025_,8305,8455,8215,8220,36026401
20181026_,8200,8640,8200,8490,34239135
20181029_,8425,8650,8320,8635,28536267
20181030_,8705,8720,8345,8485,25902736
20181031_,8445,8600,8405,8430,15795380
20181101_,8415,8505,8215,8505,15518401
20181102_,8295,8315,7850,7870,28527832
20181105_,7970,8210,7970,8020,26488213
20181106_,7935,8100,7900,7930,16142890
20181107_,7930,8040,7780,8010,21123965
20181108_,7755,7865,7650,7865,19266150
20181109_,7875,7965,7815,7950,18115247
20181112_,8080,8105,7890,7925,19177631
20181113_,8160,8315,8020,8040,32187253
20181114_,8050,8135,8015,8085,16447408
20181115_,8110,8160,7905,7925,18790263
20181116_,7860,7955,7820,7935,13047395
20181119_,7910,7955,7775,7870,10937414
20181120_,8055,8090,7970,8040,18443356
20181121_,8240,8295,8095,8105,18892158
20181122_,8110,8170,8070,8135,12436657
20181123_,8130,8315,8095,8245,16764163
20181126_,8195,8220,8005,8010,13828219
20181127_,7960,8055,7865,7895,12826055
20181128_,7855,7925,7795,7800,10464263
20181129_,7575,7805,7560,7770,15642358
20181130_,7725,7950,7705,7905,13567004
20181203_,7670,7795,7600,7640,13758791
20181204_,7705,7885,7680,7820,15167002
20181205_,8010,8025,7850,7915,21471134
20181206_,8000,8180,7985,8140,22435009
20181207_,8050,8160,8015,8075,16354239
20181210_,8305,8355,8210,8250,19788782
20181211_,8200,8335,8200,8295,11436679
20181212_,8230,8255,8045,8060,13954619
20181213_,8055,8095,7925,7970,13255966
20181214_,7985,8320,7985,8250,20765700
20181217_,8205,8225,8130,8185,13574635
20181218_,8310,8320,8170,8250,17418729
20181219_,8215,8245,8115,8135,12721725
20181220_,8240,8390,8200,8310,24428039
20181221_,8350,8390,8290,8305,12509263
20181224_,8365,8425,8310,8310,8443257
20181226_,8510,8650,8440,8565,20328300
20181227_,8295,8380,8250,8335,13955319
20181228_,8300,8305,8185,8245,9890497
20190102_,8120,8500,8105,8465,17775095
20190103_,8465,8645,8445,8635,25567058
20190104_,8650,8690,8470,8480,23193898
20190107_,8265,8290,8120,8240,19214971
20190108_,8245,8365,8190,8355,15412503
20190109_,8285,8290,7945,7995,21883656
20190110_,7990,8055,7915,8000,14366428
20190111_,7935,8000,7865,7900,12890304
20190114_,7945,8060,7925,8040,11656367
20190115_,7990,8000,7710,7725,19146475
20190116_,7730,7775,7655,7660,15341497
20190117_,7630,7680,7555,7620,14701843
20190118_,7550,7580,7490,7505,12329411
20190121_,7410,7590,7405,7495,12932317
20190122_,7495,7630,7460,7575,15244091
20190123_,7645,7645,7455,7490,13457923
20190124_,7490,7515,7360,7365,16003102
20190125_,7325,7340,7075,7080,24307127
20190128_,7075,7145,6995,7095,16348521
20190129_,7130,7185,7030,7030,20968301
20190130_,7020,7055,6855,6855,20250274
20190131_,6725,6880,6715,6875,19076578
20190201_,6825,6915,6765,6905,18044497
20190207_,6810,6945,6805,6895,15807099
20190208_,6975,7125,6965,7090,21426179
20190211_,7085,7165,7075,7080,16950581
20190212_,7075,7095,6960,6985,14806827
20190213_,6930,6970,6910,6920,11944651
20190214_,6970,7035,6805,6805,16382971
20190215_,6855,7025,6845,6975,17565431
20190218_,6895,6925,6815,6860,13269752
20190219_,6885,7010,6860,6925,16483785
20190220_,6845,6875,6715,6765,19197091
20190221_,6810,6870,6710,6760,21458831
20190222_,6800,6840,6760,6760,14014995
20190225_,6685,6785,6665,6735,11011334
20190226_,6745,6815,6725,6785,11527769
20190227_,6745,6770,6710,6740,10257494
20190228_,6770,6970,6750,6970,22040139
20190304_,6875,7045,6825,7035,19082650
20190305_,7105,7195,7075,7140,19857511
20190306_,7160,7220,7155,7180,15377604
20190307_,7195,7290,7120,7230,15720505
20190308_,7305,7425,7280,7425,23129097
20190311_,7395,7480,7370,7415,15150769
20190312_,7280,7315,7235,7265,12645759
20190313_,7315,7475,7315,7375,14184360
20190314_,7330,7435,7295,7340,14055675
20190315_,7370,7375,7130,7180,21360993
20190318_,7140,7205,7125,7165,9489692
20190319_,7145,7230,7140,7185,9816971
20190320_,7210,7350,7160,7160,17527346
20190321_,7155,7170,6950,7065,27851081
20190322_,7000,7070,6960,7035,13753142
20190325_,7225,7315,7205,7315,19822288
20190326_,7265,7325,7255,7310,12581428
20190327_,7335,7440,7265,7305,21137713
20190328_,7405,7465,7340,7400,22036414
20190329_,7375,7430,7305,7330,13241102
20190401_,7220,7230,7100,7120,12684096
20190402_,7070,7095,7025,7070,9818991
20190403_,7070,7085,6850,6850,18227966
20190404_,6855,6880,6750,6830,16792338
20190405_,6820,6850,6770,6800,11514791
20190408_,6750,6885,6745,6840,14902955
20190409_,6820,6875,6745,6815,18107493
20190410_,6865,6880,6745,6750,16887618
20190411_,6735,6820,6715,6775,14472015
20190412_,6800,6850,6715,6745,14877051
20190415_,6690,6700,6620,6680,13852725
20190416_,6700,6715,6625,6635,13532571
20190417_,6630,6665,6610,6640,8763010
20190418_,6630,6875,6615,6855,21754871
20190419_,6790,6855,6775,6850,12515694
20190422_,6840,6920,6770,6855,23152783
20190423_,6850,6885,6805,6825,15342051
20190424_,6770,7045,6765,6985,30474785
20190425_,7010,7045,6940,7010,18409274
20190426_,7070,7165,7030,7090,33408133
20190429_,7050,7060,6805,6805,20186379
20190430_,6825,7010,6820,6895,34890273
20190502_,6965,7000,6800,6845,22691141
20190503_,6870,6990,6860,6955,21451949
20190507_,7080,7205,7060,7075,26915513
20190508_,7260,7270,7065,7140,22152909
20190509_,7200,7590,7175,7560,44997236
20190510_,7515,7695,7430,7545,52204817
20190513_,7695,7750,7590,7730,25902740
20190514_,7910,7915,7645,7750,29901644
20190515_,7765,7825,7620,7685,20659878
20190516_,7710,7935,7700,7895,30312987
20190517_,7785,8030,7785,8005,28236297
20190520_,7920,7995,7805,7965,31002265
20190521_,7975,7985,7750,7880,30875545
20190522_,7850,8030,7815,7860,30971311
20190523_,7870,7995,7845,7875,28490788
20190524_,7940,8075,7890,7995,31555698
20190527_,8010,8070,7915,7985,21710638
20190528_,7995,8065,7905,7960,24325550
20190529_,8025,8260,8005,8185,33101307
20190530_,8140,8165,8025,8040,29497196
20190531_,8085,8175,7960,8065,27650877
20190603_,8125,8155,7780,7800,24918172
20190604_,7810,7865,7775,7825,16870999
20190605_,7680,7830,7645,7805,19950891
20190607_,7800,7910,7680,7790,28189866
20190610_,7670,7760,7545,7565,27708098
20190611_,7575,7610,7460,7480,17226329
20190612_,7495,7550,7435,7535,17685162
20190613_,7540,7765,7525,7645,32690338
20190614_,7645,7740,7580,7655,20953296
20190617_,7680,7710,7575,7650,20197994
20190618_,7670,7680,7550,7575,16235004
20190619_,7400,7435,7345,7385,23884807
20190620_,7385,7410,7325,7335,12955444
20190621_,7320,7405,7315,7375,17271445
20190624_,7340,7375,7295,7355,12992812
20190625_,7370,7435,7280,7375,19599624
20190626_,7400,7405,7320,7360,15672310
20190627_,7315,7350,7150,7185,20894881
20190628_,7185,7250,7155,7210,13290442
20190701_,7090,7240,7070,7205,15406706
20190702_,7285,7360,7215,7290,17567426
20190703_,7315,7510,7260,7485,26136357
20190704_,7455,7510,7360,7360,21511835
20190705_,7345,7475,7325,7375,24653890
20190708_,7500,7700,7500,7690,28401004
20190709_,7650,7735,7595,7735,24618556
20190710_,7645,7675,7590,7660,19680801
20190711_,7580,7590,7435,7470,25978810
20190712_,7485,7530,7425,7435,13972005
20190715_,7485,7545,7420,7460,16070835
20190716_,7455,7485,7360,7390,15932323
20190717_,7455,7580,7455,7530,23848716
20190718_,7570,7620,7510,7565,22945008
