Transaction time,opening,highest,lowest,current,amount
201912050900_,12390,12400,12380,12385,304576
201912050901_,12380,12395,12375,12390,138496
201912050902_,12390,12400,12380,12400,88277
201912050903_,12400,12440,12400,12440,229191
201912050904_,12445,12460,12420,12455,189700
201912050905_,12450,12465,12425,12430,221345
201912050906_,12420,12430,12415,12420,101170
201912050907_,12420,12430,12420,12430,32649
201912050908_,12430,12445,12430,12435,70333
201912050909_,12435,12460,12435,12455,114138
201912050910_,12450,12460,12440,12450,62209
201912050911_,12445,12455,12440,12455,79031
201912050912_,12455,12455,12435,12445,41932
201912050913_,12440,12445,12420,12425,55172
201912050914_,12425,12435,12415,12425,131253
201912050915_,12425,12435,12420,12420,30035
201912050916_,12420,12430,12415,12420,30667
201912050917_,12420,12435,12420,12430,26867
201912050918_,12435,12450,12430,12440,68621
201912050919_,12445,12450,12440,12445,44366
201912050920_,12440,12450,12430,12430,72465
201912050921_,12430,12445,12430,12435,26637
201912050922_,12435,12445,12430,12440,17519
201912050923_,12440,12440,12425,12425,45706
201912050924_,12430,12430,12420,12430,12352
201912050925_,12430,12430,12420,12420,42001
201912050926_,12420,12425,12410,12420,35789
201912050927_,12420,12425,12415,12425,29136
201912050928_,12425,12445,12425,12445,64735
201912050929_,12440,12440,12430,12430,9410
201912050930_,12430,12430,12405,12410,85056
201912050931_,12415,12420,12385,12385,126219
201912050932_,12385,12400,12380,12395,99386
201912050933_,12395,12410,12385,12410,97021
201912050934_,12405,12410,12395,12400,22272
201912050935_,12400,12405,12395,12400,23539
201912050936_,12405,12420,12405,12415,72682
201912050937_,12415,12420,12405,12415,11260
201912050938_,12415,12420,12410,12420,12769
201912050939_,12420,12420,12410,12420,8202
201912050940_,12420,12425,12405,12405,45095
201912050941_,12405,12410,12395,12395,57872
201912050942_,12395,12405,12395,12400,28115
201912050943_,12400,12405,12395,12400,8388
201912050944_,12405,12405,12400,12400,25746
201912050945_,12395,12405,12395,12405,41797
201912050946_,12405,12405,12380,12385,40763
201912050947_,12385,12385,12380,12385,36559
201912050948_,12385,12390,12380,12385,56342
201912050949_,12390,12390,12385,12385,30457
201912050950_,12385,12400,12385,12390,50934
201912050951_,12390,12390,12380,12385,39861
201912050952_,12380,12390,12380,12390,23933
201912050953_,12390,12390,12385,12390,11193
201912050954_,12385,12390,12380,12385,18511
201912050955_,12385,12390,12375,12375,56888
201912050956_,12375,12375,12370,12370,62669
201912050957_,12370,12380,12365,12370,23546
201912050958_,12370,12380,12370,12375,7139
201912050959_,12375,12375,12365,12370,9965
201912051000_,12370,12380,12365,12370,51309
201912051001_,12375,12375,12355,12360,81966
201912051002_,12360,12360,12345,12360,113614
201912051003_,12355,12365,12355,12360,57058
201912051004_,12355,12365,12350,12360,45633
201912051005_,12360,12365,12355,12355,18801
201912051006_,12360,12365,12355,12355,20578
201912051007_,12360,12365,12355,12360,22154
201912051008_,12360,12365,12355,12365,20323
201912051009_,12365,12370,12365,12365,67665
201912051010_,12365,12370,12365,12370,3584
201912051011_,12370,12375,12370,12370,33383
201912051012_,12370,12375,12365,12370,29016
201912051013_,12370,12375,12370,12370,36812
201912051014_,12370,12375,12365,12370,30377
201912051015_,12375,12390,12375,12380,53773
201912051016_,12380,12385,12370,12370,23329
201912051017_,12375,12380,12365,12365,34039
201912051018_,12370,12370,12360,12360,33027
201912051019_,12355,12360,12355,12355,62243
201912051020_,12360,12365,12350,12360,14720
201912051021_,12360,12365,12350,12355,48168
201912051022_,12355,12355,12340,12345,55278
201912051023_,12345,12355,12340,12350,32027
201912051024_,12355,12355,12340,12340,54808
201912051025_,12340,12340,12330,12330,142585
201912051026_,12330,12335,12320,12325,64694
201912051027_,12325,12330,12320,12325,25826
201912051028_,12320,12320,12310,12310,61920
201912051029_,12315,12325,12310,12325,90050
201912051030_,12320,12330,12305,12305,104741
201912051031_,12305,12320,12305,12315,40568
201912051032_,12315,12315,12310,12310,61052
201912051033_,12310,12310,12300,12305,154410
201912051034_,12300,12310,12300,12305,57192
201912051035_,12305,12310,12300,12310,48607
201912051036_,12310,12310,12305,12305,57257
201912051037_,12305,12305,12295,12300,38444
201912051038_,12300,12320,12300,12320,39958
201912051039_,12320,12325,12310,12325,28280
201912051040_,12330,12330,12320,12325,42361
201912051041_,12325,12330,12320,12325,62130
201912051042_,12320,12325,12305,12305,78301
201912051043_,12305,12315,12305,12310,15938
201912051044_,12310,12310,12265,12270,215110
201912051045_,12265,12295,12265,12285,90143
201912051046_,12285,12285,12270,12270,89601
201912051047_,12265,12295,12260,12295,35111
201912051048_,12290,12295,12280,12290,69730
201912051049_,12295,12310,12290,12310,80833
201912051050_,12310,12315,12305,12305,73973
201912051051_,12310,12310,12280,12285,50188
201912051052_,12285,12295,12280,12290,17806
201912051053_,12290,12295,12285,12290,47004
201912051054_,12290,12300,12285,12290,13233
201912051055_,12290,12300,12285,12295,19387
201912051056_,12290,12295,12290,12290,65655
201912051057_,12295,12300,12290,12300,37374
201912051058_,12300,12310,12295,12310,58560
201912051059_,12310,12315,12305,12310,41350
201912051100_,12310,12310,12295,12300,16890
201912051101_,12300,12310,12300,12300,79834
201912051102_,12305,12315,12300,12315,39370
201912051103_,12310,12325,12310,12320,26801
201912051104_,12320,12330,12315,12325,100665
201912051105_,12325,12325,12315,12315,42259
201912051106_,12315,12315,12310,12310,23088
201912051107_,12315,12330,12315,12325,56898
201912051108_,12325,12340,12325,12330,80779
201912051109_,12330,12335,12325,12325,47776
201912051110_,12325,12330,12320,12320,25151
201912051111_,12320,12325,12310,12315,25101
201912051112_,12320,12320,12310,12310,7351
201912051113_,12315,12315,12310,12315,48578
201912051114_,12315,12315,12300,12310,30154
201912051115_,12310,12320,12305,12305,29507
201912051116_,12305,12310,12295,12300,60955
201912051117_,12295,12300,12290,12290,52227
201912051118_,12290,12290,12285,12290,34904
201912051119_,12290,12290,12285,12285,10852
201912051120_,12290,12290,12275,12285,92199
201912051121_,12285,12295,12285,12290,26305
201912051122_,12290,12305,12290,12295,35214
201912051123_,12300,12305,12295,12295,7584
201912051124_,12290,12295,12285,12285,18098
201912051125_,12285,12290,12275,12285,32153
201912051126_,12285,12295,12280,12295,13615
201912051127_,12290,12300,12290,12300,5383
201912051128_,12300,12300,12295,12300,16515
201912051129_,12300,12300,12290,12295,28346
201912051130_,12290,12295,12290,12290,10038
201912051131_,12290,12295,12285,12295,10711
201912051132_,12295,12300,12295,12300,4388
201912051133_,12300,12300,12295,12300,15009
201912051134_,12300,12305,12295,12295,28765
201912051135_,12295,12295,12285,12285,28338
201912051136_,12285,12285,12265,12280,145094
201912051137_,12285,12285,12275,12280,6275
201912051138_,12275,12290,12275,12290,59861
201912051139_,12280,12290,12280,12280,5683
201912051140_,12280,12285,12275,12280,11904
201912051141_,12275,12285,12275,12280,13271
201912051142_,12285,12290,12280,12285,16872
201912051143_,12285,12285,12270,12275,68461
201912051144_,12270,12275,12245,12250,187543
201912051145_,12250,12265,12245,12260,55201
201912051146_,12260,12265,12250,12260,28055
201912051147_,12260,12260,12250,12260,16376
201912051148_,12255,12260,12225,12235,144059
