Transaction time,opening,highest,lowest,current,amount
201912200900_,6215,6230,6215,6225,396085
201912200901_,6220,6235,6220,6220,221275
201912200902_,6220,6230,6215,6225,179640
201912200903_,6220,6235,6220,6235,153411
201912200904_,6230,6240,6230,6235,110145
201912200905_,6235,6235,6225,6230,49400
201912200906_,6225,6230,6215,6230,213927
201912200907_,6230,6230,6215,6215,38258
201912200908_,6220,6225,6215,6220,55194
201912200909_,6225,6235,6225,6235,352078
201912200910_,6230,6240,6230,6235,171248
201912200911_,6235,6240,6235,6240,451649
201912200912_,6245,6245,6230,6235,292108
201912200913_,6230,6235,6230,6235,191051
201912200914_,6235,6240,6235,6240,425445
201912200915_,6240,6240,6230,6230,229412
201912200916_,6235,6240,6230,6235,26228
201912200917_,6235,6240,6230,6235,31531
201912200918_,6235,6240,6235,6240,2426
201912200919_,6240,6245,6235,6245,26528
201912200920_,6245,6245,6240,6245,19681
201912200921_,6245,6245,6240,6240,7965
201912200922_,6245,6255,6240,6255,122003
201912200923_,6255,6255,6245,6250,54412
201912200924_,6250,6265,6245,6265,84763
201912200925_,6265,6265,6260,6260,38851
201912200926_,6260,6265,6260,6265,30842
201912200927_,6265,6265,6250,6250,41493
201912200928_,6255,6260,6250,6260,40784
201912200929_,6260,6270,6260,6265,37714
201912200930_,6270,6270,6265,6270,71657
201912200931_,6265,6270,6260,6260,78143
201912200932_,6260,6260,6255,6260,81140
201912200933_,6255,6260,6255,6255,31076
201912200934_,6255,6255,6250,6255,77867
201912200935_,6250,6255,6250,6255,51476
201912200936_,6255,6255,6250,6255,3469
201912200937_,6255,6265,6255,6260,89823
201912200938_,6265,6265,6260,6265,46787
201912200939_,6265,6265,6260,6260,1164
201912200940_,6265,6265,6255,6255,31873
201912200941_,6255,6260,6255,6260,36572
201912200942_,6260,6265,6255,6255,61946
201912200943_,6260,6270,6255,6270,109401
201912200944_,6265,6270,6260,6265,9461
201912200945_,6265,6270,6265,6270,42602
201912200946_,6270,6285,6270,6280,129070
201912200947_,6280,6285,6275,6285,71166
201912200948_,6285,6290,6280,6280,101606
201912200949_,6280,6285,6270,6270,61585
201912200950_,6270,6270,6260,6265,64041
201912200951_,6270,6270,6265,6270,8186
201912200952_,6270,6270,6270,6270,13605
201912200953_,6270,6270,6265,6265,5115
201912200954_,6270,6270,6260,6265,46233
201912200955_,6265,6270,6265,6265,5682
201912200956_,6270,6275,6270,6275,30599
201912200957_,6270,6275,6270,6275,1827
201912200958_,6270,6275,6265,6270,37718
201912200959_,6265,6270,6265,6265,14688
201912201000_,6265,6265,6265,6265,12317
201912201001_,6265,6270,6265,6270,8517
201912201002_,6265,6270,6260,6270,8286
201912201003_,6270,6270,6270,6270,5866
201912201004_,6270,6270,6270,6270,2520
201912201005_,6270,6270,6265,6270,28811
201912201006_,6270,6270,6265,6270,3655
201912201007_,6270,6275,6270,6270,6815
201912201008_,6270,6275,6270,6275,7828
201912201009_,6275,6280,6275,6275,43186
201912201010_,6280,6280,6275,6275,26405
201912201011_,6275,6280,6275,6275,42670
201912201012_,6270,6275,6270,6270,16074
201912201013_,6270,6275,6270,6275,6694
201912201014_,6275,6275,6270,6270,7886
201912201015_,6270,6280,6270,6275,13017
201912201016_,6270,6270,6270,6270,1271
201912201017_,6270,6270,6270,6270,25491
201912201018_,6275,6275,6270,6275,31569
201912201019_,6280,6280,6275,6280,51765
201912201020_,6280,6285,6280,6280,35423
201912201021_,6280,6285,6275,6280,9678
201912201022_,6280,6280,6275,6280,1058
201912201023_,6280,6285,6280,6280,11594
201912201024_,6280,6280,6275,6275,9257
201912201025_,6280,6280,6275,6275,27513
201912201026_,6275,6275,6265,6265,8687
201912201027_,6265,6265,6265,6265,64702
201912201028_,6260,6265,6260,6265,28876
201912201029_,6265,6270,6265,6270,4000
201912201030_,6265,6270,6265,6265,4477
201912201031_,6270,6280,6270,6280,27256
201912201032_,6280,6280,6275,6275,29436
201912201033_,6275,6280,6275,6280,1817
201912201034_,6280,6280,6280,6280,8146
201912201035_,6280,6280,6275,6275,72075
201912201036_,6275,6280,6275,6275,18970
201912201037_,6275,6280,6275,6280,13378
201912201038_,6280,6280,6275,6280,8921
201912201039_,6280,6280,6270,6270,58079
201912201040_,6270,6270,6260,6265,85031
201912201041_,6265,6265,6260,6265,59220
201912201042_,6265,6265,6260,6260,27471
201912201043_,6260,6260,6255,6260,46030
201912201044_,6255,6260,6250,6255,117779
201912201045_,6250,6255,6250,6255,33275
201912201046_,6255,6255,6250,6255,39414
201912201047_,6255,6260,6255,6260,30024
201912201048_,6260,6260,6255,6260,5946
201912201049_,6255,6260,6255,6255,62193
201912201050_,6255,6255,6245,6250,131392
201912201051_,6245,6245,6240,6240,185937
201912201052_,6240,6240,6235,6240,176854
201912201053_,6240,6240,6235,6235,69832
201912201054_,6240,6240,6230,6235,178115
201912201055_,6235,6240,6230,6240,52356
201912201056_,6240,6240,6235,6235,116835
201912201057_,6235,6235,6230,6235,8125
201912201058_,6235,6235,6230,6235,86772
