Transaction time,opening,highest,lowest,current,amount
202004211128_,7280,7295,7275,7295,2222451
202004211129_,7295,7295,7245,7265,2364195
202004211130_,7260,7280,7255,7270,1798368
202004211131_,7270,7280,7250,7255,1426642
202004211132_,7260,7260,7240,7250,1202940
202004211133_,7245,7280,7245,7275,1133372
202004211134_,7275,7280,7250,7260,874673
202004211135_,7260,7265,7240,7260,1619114
202004211136_,7260,7280,7255,7270,1602742
202004211137_,7270,7300,7265,7290,2125886
202004211138_,7290,7305,7280,7280,2568167
202004211139_,7290,7315,7285,7290,1626039
202004211140_,7295,7310,7285,7300,1051614
202004211141_,7305,7310,7290,7305,1407810
202004211142_,7310,7345,7305,7335,2571205
202004211143_,7335,7340,7310,7315,1942565
202004211144_,7315,7325,7280,7290,1967480
202004211145_,7290,7295,7245,7245,2171382
202004211146_,7245,7260,7230,7250,1746162
202004211147_,7255,7255,7210,7210,2752178
202004211148_,7210,7215,7180,7185,2544439
202004211149_,7185,7205,7170,7170,1902948
202004211150_,7170,7180,7150,7180,2185615
202004211151_,7175,7195,7170,7190,1703293
202004211152_,7190,7205,7180,7200,1328881
202004211153_,7205,7230,7195,7220,1261015
202004211154_,7220,7220,7185,7195,1327737
202004211155_,7195,7210,7190,7200,807721
202004211156_,7195,7200,7180,7180,885850
202004211157_,7180,7205,7180,7200,834972
202004211158_,7195,7210,7185,7205,749360
202004211159_,7205,7205,7180,7190,748125
202004211200_,7195,7215,7190,7210,622219
202004211201_,7205,7215,7195,7210,777748
202004211202_,7205,7230,7205,7210,925713
202004211203_,7210,7215,7195,7200,739906
202004211204_,7205,7215,7180,7185,671298
202004211205_,7185,7200,7185,7190,378749
202004211206_,7190,7200,7170,7175,690455
202004211207_,7170,7185,7170,7180,770881
202004211208_,7180,7185,7150,7155,883801
202004211209_,7155,7160,7135,7140,1481486
202004211210_,7140,7150,7135,7140,880098
202004211211_,7135,7160,7130,7155,1041690
202004211212_,7150,7160,7135,7140,779973
202004211213_,7140,7160,7135,7150,431771
202004211214_,7155,7170,7145,7170,620828
202004211215_,7165,7180,7165,7170,1049845
202004211216_,7170,7185,7165,7185,607581
202004211217_,7185,7200,7180,7195,785545
202004211218_,7190,7205,7190,7200,845168
202004211219_,7195,7205,7190,7200,474259
202004211220_,7205,7205,7175,7185,736916
202004211221_,7185,7200,7175,7200,467610
202004211222_,7195,7210,7195,7200,711215
202004211223_,7200,7210,7195,7205,460015
202004211224_,7205,7205,7200,7200,372172
202004211225_,7200,7210,7190,7205,764483
202004211226_,7205,7230,7200,7230,632300
202004211227_,7225,7230,7215,7220,1046574
202004211228_,7220,7240,7215,7230,981812
202004211229_,7230,7235,7210,7220,657448
202004211230_,7220,7220,7200,7205,965373
202004211231_,7205,7220,7200,7205,389479
202004211232_,7205,7220,7205,7215,257328
202004211233_,7215,7215,7190,7190,715906
202004211234_,7190,7200,7190,7195,503777
202004211235_,7195,7195,7185,7185,515459
202004211236_,7185,7205,7185,7205,787196
202004211237_,7205,7215,7190,7200,620693
202004211238_,7200,7220,7200,7215,305368
202004211239_,7215,7220,7205,7205,221810
202004211240_,7205,7230,7205,7230,467075
202004211241_,7230,7230,7220,7220,738159
202004211242_,7215,7225,7210,7210,394760
202004211243_,7210,7215,7205,7210,269482
202004211244_,7210,7240,7210,7235,1463022
202004211245_,7235,7240,7220,7230,810260
202004211246_,7230,7240,7220,7225,524127
202004211247_,7225,7235,7220,7220,444040
202004211248_,7220,7235,7220,7230,305612
202004211249_,7230,7235,7215,7220,565817
202004211250_,7220,7225,7205,7210,439256
202004211251_,7205,7215,7200,7205,569324
202004211252_,7200,7215,7200,7200,500373
202004211253_,7200,7215,7200,7205,429273
202004211254_,7205,7225,7195,7220,596609
202004211255_,7220,7225,7205,7215,412187
202004211256_,7210,7215,7205,7210,163828
202004211257_,7210,7220,7205,7215,414964
202004211258_,7210,7220,7210,7210,410076
202004211259_,7210,7210,7195,7200,573695
202004211300_,7200,7225,7195,7215,543425
202004211301_,7215,7220,7200,7205,243064
202004211302_,7205,7205,7180,7185,873094
202004211303_,7185,7190,7175,7185,558649
202004211304_,7185,7190,7175,7180,334198
202004211305_,7180,7195,7180,7190,325368
202004211306_,7190,7200,7185,7200,357021
202004211307_,7200,7200,7185,7190,283597
202004211308_,7190,7205,7190,7195,555183
202004211309_,7195,7210,7190,7210,336115
